table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,73,35,38,5,3,9,16,21,13,9,26,22,10,15
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,64*,33*,30*,5**,2**,7**,16**,17**,10**,9**,26**,19**,8**,11**
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,NET: Closely,57,30,28,3,2,6,13,17,10,9,24,15,8,10
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Very closely        (+2),47,26,21,3,2,4,9,14,9,9,19,11,7,10
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Fairly closely      (+1),10,4,7,-,-,2,4,4,*,-,5,4,1,*
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Not very closely    (-1),3,1,2,-,-,2,2,-,-,-,1,3,-,-
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Not at all closely  (-2),3,2,1,2,1,-,1,-,-,-,1,1,-,1
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,NET: Not closely,6,3,3,2,1,2,3,-,-,-,2,4,-,1
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.51,1.52,1.5,0.48,1,1.1,1.15,1.79,1.95,2,1.53,1.18,1.9,1.75
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1.05,1.14,0.96,2.18,2.29,1.28,1.26,0.42,0.23,0,1.02,1.28,0.33,0.95
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,1836,896,940,196,168,298,329,353,268,392,546,519,386,385
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,1848,920,927,261,225,314,276,311,261,425,516,515,390,426
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,NET: Closely,1725,843,882,233,198,275,265,292,256,404,487,480,364,394
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Very closely        (+2),1370,652,717,163,140,200,208,231,209,359,402,359,289,319
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Fairly closely      (+1),355,190,165,70,58,76,57,61,47,45,85,121,74,75
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Not very closely    (-1),87,52,35,25,23,30,8,12,3,9,21,29,16,20
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Not at all closely  (-2),36,26,10,4,4,8,3,7,1,12,7,6,10,12
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,NET: Not closely,123,78,45,29,27,38,12,19,4,21,28,35,27,33
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.59,1.51,1.67,1.39,1.37,1.37,1.66,1.6,1.77,1.72,1.66,1.55,1.58,1.57
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.87,0.96,0.76,1,1.03,1.06,0.74,0.87,0.55,0.82,0.8,0.86,0.9,0.94
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,1822,889,933,237,208,293,290,289,285,428,515,513,330,464
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,1838,886,952,251,216,296,289,318,266,419,494,523,379,442
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 12th to 15th June 2020,NET: Closely,1729,819,911,222,191,277,276,298,257,399,465,494,353,417
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 12th to 15th June 2020,Very closely        (+2),1294,579,714,151,132,179,195,218,215,336,351,362,258,322
Table 106,Q13. How closely followed official advice in last week: Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,ONLINE Fieldwork: 12th to 15th June 2020,Fairly closely      (+1),436,239,196,72,59,98,82,80,42,62,113,132,95,95
