table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,76,30,46,2,1,16,15,17,13,13,24,19,10,23,-,-,-,-,-,-,-,-,-,-,-,76,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,64*,24**,40*,2**,***,13**,13**,16**,9**,10**,19**,18**,7**,19**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,64*,-**,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closely,57,19,38,2,*,12,10,15,8,10,17,17,7,16,-,-,-,-,-,-,-,-,-,-,-,57,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Very closely        (+2),33,11,22,2,*,5,5,9,7,6,9,7,6,12,-,-,-,-,-,-,-,-,-,-,-,33,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Fairly closely      (+1),24,8,15,-,-,7,4,7,1,4,8,10,1,5,-,-,-,-,-,-,-,-,-,-,-,24,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Not very closely    (-1),5,3,2,-,-,1,4,-,-,1,-,2,1,3,-,-,-,-,-,-,-,-,-,-,-,5,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Not at all closely  (-2),2,2,-,-,-,-,-,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,NET: Not closely,7,5,2,-,-,1,4,1,1,1,2,2,1,3,-,-,-,-,-,-,-,-,-,-,-,7,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.28,1,1.45,2,2,1.3,0.85,1.31,1.57,1.42,1.18,1.22,1.59,1.32,-,-,-,-,-,-,-,-,-,-,-,1.28,-,,,
Table 154,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.01,1.3,0.77,-,-,0.73,1.27,1.07,1.11,0.84,1.18,0.84,0.96,1.07,-,-,-,-,-,-,-,-,-,-,-,1.01,-,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,1027,1117,266,236,330,330,370,345,503,610,572,441,521,185,82,209,158,200,159,104,209,287,289,183,79,1776,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,NET: Closely,2017,972,1045,274,238,332,310,343,286,471,558,567,403,489,170,77,218,165,176,148,99,184,267,277,173,62,1686,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Very closely        (+2),1444,674,769,168,143,215,226,246,213,376,399,405,286,354,129,58,152,107,131,112,66,132,180,200,127,50,1199,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Fairly closely      (+1),573,297,276,106,95,118,84,96,73,96,160,162,117,135,40,19,66,58,46,37,33,52,87,77,46,12,487,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Not very closely    (-1),90,51,39,19,19,17,14,18,16,6,20,24,21,26,9,4,13,7,8,3,2,14,13,9,7,2,78,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Not at all closely  (-2),37,25,12,2,2,8,8,9,7,3,5,14,12,6,*,4,6,3,2,2,1,3,3,8,3,*,35,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,NET: Not closely,127,76,51,22,22,25,22,26,22,9,25,38,32,32,9,8,19,10,11,6,3,18,16,16,10,2,113,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Mean,1.54,1.47,1.6,1.41,1.37,1.43,1.52,1.5,1.52,1.74,1.59,1.52,1.48,1.54,1.62,1.45,1.46,1.47,1.57,1.64,1.58,1.46,1.52,1.55,1.57,1.69,1.52,,,
Table 153,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.84,0.91,0.76,0.86,0.89,0.9,0.9,0.9,0.9,0.59,0.74,0.87,0.93,0.83,0.74,1.04,0.94,0.85,0.82,0.74,0.69,0.94,0.8,0.86,0.83,0.69,0.86,,,
