table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Washing hands regularly and thoroughly,495,206,289,42,38,70,74,112,82,114,126,154,102,113,38,17,62,44,38,40,12,47,58,78,44,17,428,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Limiting your contact with other people (including family and friends),274,154,120,22,20,32,41,52,54,73,91,73,39,70,26,13,34,27,24,21,14,26,28,33,17,10,223,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Maintaining social distancing,443,230,213,52,46,75,67,65,61,124,103,135,102,103,30,16,41,29,40,34,40,41,52,51,55,15,358,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Wearing a face mask/ covering,292,131,161,77,53,59,36,43,27,50,83,64,68,78,23,8,28,26,25,12,8,36,66,36,18,7,255,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Staying at home as much as possible,430,206,225,59,59,72,66,67,64,103,104,121,91,114,43,24,45,34,39,29,20,42,50,66,34,6,362,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Work from home (if possible),113,74,39,16,16,29,37,14,12,5,42,34,14,24,7,2,15,8,14,12,1,4,17,17,10,6,99,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,Not touching your face when outside,50,26,24,20,17,12,4,8,2,3,22,11,9,8,9,3,8,3,2,2,5,1,7,5,3,2,34,,,
Table 133,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 11th to 13th September 2020,None of these,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Washing hands regularly and thoroughly,340,156,184,38,35,62,74,54,55,56,77,111,72,80,30,12,30,30,33,24,13,33,47,42,35,12,285,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Limiting your contact with other people (including family and friends),399,202,197,39,34,57,58,84,61,99,138,110,85,66,46,12,53,22,32,32,20,34,36,63,36,15,318,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Maintaining social distancing,308,159,149,46,43,49,49,54,53,57,92,75,61,80,18,17,34,23,24,20,20,27,40,46,34,5,265,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Wearing a face mask/ covering,290,136,154,58,49,45,43,52,34,59,65,83,59,83,27,10,28,20,28,22,7,26,50,36,20,17,239,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Staying at home as much as possible,605,289,316,71,58,96,72,96,84,186,149,175,115,166,42,26,74,66,57,42,28,71,67,76,43,13,521,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Work from home (if possible),107,66,41,25,22,28,20,16,9,9,40,28,20,19,9,5,13,9,4,7,7,4,21,21,6,1,90,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,Not touching your face when outside,51,20,31,12,10,14,9,4,6,5,10,11,13,16,3,2,1,3,6,5,4,3,14,4,6,-,43,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 6th to 8th November 2020,None of these,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Washing hands regularly and thoroughly,301,134,168,29,28,48,53,56,48,66,69,85,67,81,38,15,28,17,21,22,20,24,39,45,20,13,231,6,130,91
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Limiting your contact with other people (including family and friends),424,212,213,46,44,41,62,86,78,111,109,126,98,91,34,17,45,38,37,29,14,41,47,61,45,15,361,6,185,159
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Maintaining social distancing,280,140,140,43,36,50,52,44,34,58,76,92,55,57,16,8,22,21,31,28,17,30,38,44,20,6,241,8,133,94
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Wearing a face mask/ covering,322,153,169,82,65,53,47,54,29,57,82,86,67,87,25,11,34,20,24,18,16,34,46,54,33,7,275,10,147,110
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Staying at home as much as possible,582,271,311,57,49,87,79,102,101,157,181,146,96,158,50,23,77,58,48,45,26,55,77,63,44,17,490,16,240,222
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Work from home (if possible),97,57,40,17,16,36,19,11,6,9,25,35,22,15,8,4,13,7,11,6,3,5,19,10,8,3,83,4,39,38
