table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,808,421,387,99,84,115,116,148,130,201,234,219,154,202,69,31,96,70,71,64,39,68,112,99,63,26,674,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,1st most important,274,154,120,22,20,32,41,52,54,73,91,73,39,70,26,13,34,27,24,21,14,26,28,33,17,10,223,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,246,124,122,41,34,34,37,42,31,60,73,66,46,62,20,8,36,19,19,18,14,17,41,27,22,5,207,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,289,144,145,36,30,49,38,54,45,68,70,80,69,70,23,11,26,23,27,25,11,24,44,39,25,11,243,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 11th to 13th September 2020,No answer,1290,604,685,190,165,235,208,213,172,270,337,373,271,309,106,52,136,101,113,87,60,130,165,188,116,37,1087,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,1019,535,484,126,109,155,148,179,157,254,302,304,198,216,88,41,116,83,81,75,52,97,109,153,94,31,849,,,
