table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,1492,721,771,193,162,238,211,252,226,372,398,407,312,375,121,53,163,111,130,108,78,143,194,202,140,48,1244,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,1st most important,443,230,213,52,46,75,67,65,61,124,103,135,102,103,30,16,41,29,40,34,40,41,52,51,55,15,358,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,540,270,269,73,59,84,81,91,81,129,159,131,115,135,45,19,55,47,49,45,20,47,67,85,41,19,456,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,510,221,289,68,57,80,63,97,84,119,136,141,96,137,47,18,68,34,41,29,19,55,74,66,44,15,429,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 11th to 13th September 2020,No answer,606,305,301,97,87,112,114,108,76,99,173,185,113,135,53,30,69,60,53,42,21,54,83,85,39,15,516,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,1240,614,625,164,146,194,190,224,174,295,348,338,248,306,103,50,141,88,103,97,57,117,163,165,109,45,1035,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,1st most important,308,159,149,46,43,49,49,54,53,57,92,75,61,80,18,17,34,23,24,20,20,27,40,46,34,5,265,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,429,206,222,61,52,68,63,76,52,108,120,127,83,99,30,14,43,29,39,30,17,49,59,63,32,22,359,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,503,249,254,56,50,77,78,94,69,130,136,136,104,126,54,19,65,37,40,47,20,41,64,56,42,18,411,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 6th to 8th November 2020,No answer,861,413,449,126,105,157,136,137,129,176,224,254,179,205,73,33,91,83,80,53,43,81,114,123,70,18,728,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,1244,618,627,168,139,195,195,215,189,282,365,355,230,295,111,48,140,105,112,96,63,115,153,170,94,38,1033,23,539,448
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,1st most important,280,140,140,43,36,50,52,44,34,58,76,92,55,57,16,8,22,21,31,28,17,30,38,44,20,6,241,8,133,94
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,463,241,222,65,49,68,72,72,71,115,147,135,76,105,43,18,54,39,43,28,28,40,60,53,42,15,377,8,192,168
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,501,237,264,61,54,77,71,99,84,109,142,128,99,132,52,22,64,45,39,40,19,45,55,73,33,16,414,6,214,187
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 4th to 6th December 2020,No answer,863,413,450,123,112,157,132,147,115,190,208,240,197,218,65,36,93,67,72,55,37,84,125,118,86,26,735,32,367,308
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,NET: Important,1095,554,541,170,146,169,174,192,158,231,317,296,231,251,79,53,141,92,82,75,54,104,154,139,92,29,932,,,
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,1st most important,195,104,91,44,40,39,30,37,23,21,55,42,54,44,18,12,23,20,20,13,9,8,47,18,7,*,167,,,
