table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,1452,703,750,207,176,223,212,227,222,362,397,414,294,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,1st most important,322,154,168,51,44,56,47,48,45,75,95,85,67,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,559,281,278,74,63,75,87,97,77,149,156,150,111,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,571,267,304,82,69,92,78,82,100,138,146,179,115,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 29th to 31st May 2020,No answer,667,333,333,86,77,131,117,137,83,114,179,183,136,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 347,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 347,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 347,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1418,666,752,201,168,221,205,244,211,337,380,403,285,350,116,60,158,104,120,112,67,133,177,190,134,44,219,544,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 347,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,311,162,150,55,49,48,44,44,47,74,84,80,69,78,25,11,33,24,30,26,15,36,35,40,29,7,48,127,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
