table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,1483,714,770,213,177,221,216,264,223,346,396,403,306,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,1st most important,828,407,421,123,103,110,121,137,122,215,215,227,170,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,331,133,199,46,37,56,45,65,53,66,87,107,62,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,324,174,150,44,37,56,50,62,47,65,93,69,73,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 29th to 31st May 2020,No answer,636,323,313,79,75,132,112,100,82,130,180,194,124,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1543,760,782,200,168,253,241,254,233,361,412,431,304,396,129,68,181,132,130,111,84,141,194,193,134,47,212,621,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,906,433,473,125,105,130,135,150,144,221,261,240,166,239,80,39,106,78,71,63,52,78,107,125,81,27,122,331,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,344,171,173,45,37,59,55,68,50,67,81,98,80,85,32,20,42,27,26,22,18,44,40,35,28,9,51,155,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,293,157,136,31,26,64,51,36,38,73,70,93,58,71,17,9,32,26,33,26,14,20,47,34,25,11,39,135,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 353,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,550,263,287,88,79,96,83,106,69,108,157,159,121,113,45,16,51,39,53,39,16,56,82,93,45,15,118,228,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,777,1182,455,541,605,121,449,114,114,407,454,1385,20,510,188,71,595,503,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,476,714,249,336,365,62,277,66,70,252,294,824,7,311,107,37,355,301,,,,,,,,,,,,,,,,,,
