table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,472,255,217,74,71,117,85,82,60,54,127,148,95,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,1st most important,132,65,67,19,18,41,25,23,12,12,43,30,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,188,108,80,33,33,40,35,32,29,19,51,67,42,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,152,82,70,22,20,37,26,27,19,22,33,51,29,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 29th to 31st May 2020,No answer,1647,781,866,219,182,236,243,282,245,421,449,449,335,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,482,250,232,74,65,114,90,72,63,69,156,161,98,67,29,15,59,36,43,39,19,44,78,70,40,9,108,254,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,131,61,70,26,23,38,24,12,11,21,43,44,26,18,3,3,16,8,12,10,5,12,24,29,8,1,32,64,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,181,101,81,23,20,37,41,29,26,26,62,62,33,25,17,9,22,16,15,16,5,13,26,21,19,4,44,101,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,170,88,82,25,22,39,26,31,27,22,51,55,39,25,9,3,21,12,16,14,9,19,27,21,14,3,33,88,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 356,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1611,774,837,215,182,236,234,288,238,400,414,429,327,441,145,68,172,135,139,111,80,153,199,216,138,54,221,595,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,215,347,155,163,185,50,135,41,47,146,141,419,8,128,67,28,185,141,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,53,92,46,37,45,20,40,11,15,41,28,116,4,40,14,6,59,42,,,,,,,,,,,,,,,,,,
