table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,NET: At least once a day,2061,1006,1055,284,249,338,314,356,300,469,565,583,415,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,20 times or more a day,303,156,148,45,41,65,52,38,39,63,78,95,52,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,10-19 times a day,322,183,139,43,37,45,55,62,46,71,97,81,72,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,5-9 times a day,573,282,291,68,62,92,100,88,90,134,172,183,98,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,2-4 times a day,656,288,369,95,81,95,78,129,102,158,170,167,150,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,About once a day,206,98,109,32,28,42,30,39,23,42,47,56,44,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,A few times a week,38,20,18,8,7,5,10,5,4,5,7,12,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Less than a few times a week,7,3,4,-,-,4,1,-,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Never - not following the coronavirus outbreak,21,11,10,2,2,8,4,4,2,2,5,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,NET: At least once a day,1755,881,874,222,194,283,277,291,255,428,500,493,349,413,153,68,200,137,159,123,86,157,224,236,155,58,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,20 times or more a day,84,60,24,22,21,20,20,6,10,6,25,25,16,19,8,5,7,5,8,8,2,7,20,8,6,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,10-19 times a day,149,85,64,21,20,30,23,28,26,21,42,44,23,39,13,5,14,16,13,9,11,7,20,19,17,4,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,5-9 times a day,364,188,176,45,42,69,57,60,44,89,111,99,82,71,35,20,58,26,35,27,16,20,37,48,29,14,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,2-4 times a day,703,350,353,81,70,84,101,114,110,213,203,196,136,168,58,24,79,54,57,45,36,75,92,100,57,26,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,About once a day,456,199,257,52,41,81,76,82,65,100,119,128,93,116,38,15,42,35,46,33,21,48,55,62,45,14,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,A few times a week,193,89,105,42,32,36,25,41,26,24,39,59,44,51,16,8,16,16,13,13,9,27,31,30,11,4,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,Less than a few times a week,107,41,67,22,22,20,12,21,15,16,21,30,23,34,3,7,12,14,7,12,3,9,14,14,11,1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 11th to 13th September 2020,Never - not following the coronavirus outbreak,42,15,27,4,1,12,10,7,6,3,10,10,10,13,4,-,4,4,4,3,2,4,7,7,2,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,NET: At least once a day,2049,1008,1042,275,248,336,309,357,295,477,560,573,425,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,20 times or more a day,261,154,107,31,29,56,49,42,45,37,61,81,62,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,10-19 times a day,276,149,126,35,32,50,42,56,25,68,86,86,42,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,5-9 times a day,573,281,292,88,78,67,86,98,82,152,174,145,117,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,2-4 times a day,730,331,399,89,80,122,100,127,104,188,190,211,156,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,About once a day,209,92,118,32,29,41,32,34,40,30,50,50,49,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,A few times a week,57,23,34,15,14,14,12,7,9,1,12,23,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,Less than a few times a week,19,7,12,4,4,7,5,2,2,-,6,5,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 17th to 19th April 2020,Never - not following the coronavirus outbreak,11,7,4,1,1,1,4,2,2,1,3,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,NET: At least once a day,1938,952,986,263,227,305,289,333,291,459,542,549,386,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
