table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - TV,1413,700,713,163,134,173,201,247,231,398,384,413,291,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,ITV,694,320,374,68,59,78,92,136,118,203,146,198,152,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from Government website/ email/ text/ post,630,293,337,97,83,113,102,103,78,136,182,191,111,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Newspapers (online),629,306,323,83,74,105,98,117,88,138,209,170,108,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - Online/ app,626,320,306,112,98,116,87,123,88,101,206,215,105,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Facebook,581,245,335,103,100,134,119,89,55,81,144,148,125,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Family and friends directly,555,213,342,116,98,99,95,73,62,111,145,171,115,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 9th to 13th April 2020,Sky,517,288,229,58,48,73,100,100,77,109,149,144,115,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
