table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - TV,728,356,372,71,57,71,91,135,130,231,192,208,174,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - Online/ app,227,110,116,46,44,60,30,43,22,26,80,76,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from Government website/ email/ text/ post,150,60,91,29,19,27,31,24,16,24,39,44,34,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Sky,125,72,53,15,12,20,19,28,20,23,33,29,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Newspapers (online),102,61,41,14,12,17,17,18,17,20,41,21,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,ITV,100,29,70,6,5,10,17,18,20,29,13,22,23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from NHS website/ email/ text/ post,86,38,48,16,13,13,18,14,7,18,28,26,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - Radio,65,29,36,2,1,8,7,9,12,27,17,26,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Websites or apps that bring together news from different news providers,65,32,33,8,8,17,12,13,6,9,16,17,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Search engine (e.g. Google),53,31,22,9,8,13,14,5,4,8,16,12,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Facebook,43,16,26,8,8,17,8,7,1,1,7,8,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Twitter,41,25,16,12,12,9,6,8,4,2,9,15,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Newspapers (printed),33,23,10,3,3,2,2,2,3,21,6,12,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from World Health Organisation (WHO) website/ email/ text/ post,31,15,16,8,8,10,9,4,1,-,7,10,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Official scientists,25,16,9,4,4,6,4,4,3,3,7,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Channel 4,24,11,13,3,3,6,3,4,6,3,10,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,YouTube,23,17,6,6,6,6,6,3,2,-,6,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Commercial Radio,23,9,13,1,1,5,6,4,2,6,6,2,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Family and friends directly,19,8,12,9,9,3,3,2,-,2,5,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",19,11,8,1,1,6,7,2,3,1,10,8,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,STV,16,8,7,-,-,4,2,1,2,6,4,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,UTV,13,5,8,-,-,2,1,1,5,3,-,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Channel 5,8,4,5,3,3,2,2,-,2,-,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",8,5,3,3,3,1,1,1,-,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Snapchat,7,2,5,5,5,2,-,-,-,-,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from Local council website/ email/ text/ post,7,4,3,-,-,1,-,3,1,2,-,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",7,3,4,1,1,1,2,3,-,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from Local health service website/ email/ text/ post,6,-,6,1,1,1,1,-,3,-,-,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Email,5,1,5,2,2,2,-,-,1,-,2,3,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Instagram,4,1,3,1,1,2,1,-,-,-,2,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,WhatsApp,3,1,2,1,1,-,2,-,-,-,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,ITV Wales,3,2,1,-,-,1,-,1,-,1,-,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Podcasts,2,2,-,1,1,-,-,-,1,-,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Advertising,2,1,1,1,1,-,-,-,1,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3b. Most important source used in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
