table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,278,144,134,73,69,57,48,48,31,21,95,77,50,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,287,152,134,81*,75*,59*,47*,48*,29**,22**,96*,88*,50*,52*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from official sources such as NHS, Government etc",185,99,87,50,47,42,28,34,16,14,63,57,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",172,88,84,44,44,44,26,31,13,14,60,48,33,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you don't know,115,55,60,31,29,25,17,22,7,13,40,37,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you don't know,112,52,60,32,30,18,17,24,7,14,35,39,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you know,105,51,53,35,31,19,16,18,12,5,34,38,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you know,95,45,50,37,34,16,15,15,7,4,27,35,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",68,36,32,20,19,17,12,6,6,6,21,23,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Twitter,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",35,23,12,12,12,4,8,7,1,3,16,10,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
