table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,142,64,78,32,30,33,31,13,13,20,59,32,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,138,65*,73*,34**,32**,36**,27**,9**,12**,20**,55*,38*,20**,25**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you know,79,34,44,18,16,18,15,9,8,12,30,22,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you know,71,26,45,10,9,20,16,6,7,12,23,23,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from official sources such as NHS, Government etc",27,18,9,7,7,8,5,3,3,2,9,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",22,12,10,6,6,7,4,3,2,-,11,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you don't know,16,6,10,7,7,6,3,-,1,-,7,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",15,7,8,9,9,4,1,1,-,-,8,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you don't know,10,5,5,3,3,2,4,1,-,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11,Q4a. Types of news/information seen on social media and search engines in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",8,5,3,3,3,3,1,1,-,-,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
