table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,202,124,78,54,51,54,43,24,10,17,72,53,33,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,204,127,78*,60*,56*,54*,43*,21**,9**,17**,69*,65*,32*,39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from official sources such as NHS, Government etc",106,67,38,30,27,29,22,9,4,12,37,34,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",96,67,30,30,29,26,16,9,4,12,36,26,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you don't know,57,32,25,15,15,21,9,4,3,5,18,22,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",47,28,19,12,12,14,7,6,2,4,14,16,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",45,29,16,18,18,9,7,5,1,4,11,14,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you don't know,40,26,14,11,11,9,9,3,4,4,15,11,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you know,39,25,14,14,14,14,6,3,1,1,14,14,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: YouTube,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you know,38,26,13,14,14,11,9,1,1,2,19,11,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
