table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,855,396,459,141,130,197,163,137,109,108,246,244,167,198,79,37,95,69,74,71,53,64,111,101,70,31,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,857,402,455,158,144,189,160,136,100*,114*,242,244,157,214,73*,35*,105*,72*,76*,68*,48*,66*,110*,102*,69*,32**,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,NET: Each time / most times / sometimes,705,330,375,145,133,165,135,103,76,81,209,202,124,170,57,27,83,58,65,54,43,55,96,90,52,24,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Each time I go onto social media,125,52,73,23,22,39,32,14,11,7,33,37,19,36,11,3,10,7,16,8,12,8,20,20,7,5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Most times,229,98,131,66,58,50,38,29,23,24,75,61,44,49,19,10,35,19,17,17,12,16,33,25,21,7,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Sometimes,351,180,171,56,53,76,66,60,43,50,102,103,61,85,28,15,38,32,32,29,20,31,44,45,24,13,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Rarely,117,51,66,11,10,20,20,27,16,24,28,33,25,31,12,5,17,13,8,10,4,8,10,9,15,5,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,Never,21,16,6,2,2,4,3,2,5,5,2,8,4,8,2,2,5,2,1,1,-,2,2,2,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 11th to 13th September 2020,I do not use social media,13,5,9,-,-,1,1,4,3,4,3,1,4,5,2,-,1,-,2,3,1,1,1,1,-,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,"Q4b1. When you go onto social media, how often are you coming across/seeing information in the form of banners, pop-ups and upfront notices about Coronavirus from official sources,",ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,983,471,512,169,151,186,176,172,130,150,268,277,215,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
