table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,519,252,266,106,103,115,116,72,52,57,158,146,97,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),169,79,90,40,40,41,35,22,15,16,56,48,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),350,173,177,66,63,74,81,50,37,41,102,98,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),622,330,293,77,68,120,108,122,84,111,174,175,129,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),965,447,518,109,86,112,101,167,169,306,241,276,200,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,Mean,0.87,0.89,0.85,1.12,1.22,1.13,1.15,0.8,0.66,0.51,0.95,0.86,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.96,0.95,0.98,1.06,1.07,1,0.98,0.9,0.87,0.79,0.99,0.97,0.92,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2122,1097,1025,298,267,336,346,368,309,465,626,638,306,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
