table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,165,89,76,20,19,25,31,30,22,37,43,39,24,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,177,98*,79*,21**,20**,33**,31**,31**,23**,38*,42*,50*,22**,63*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,106,54,52,14,14,20,17,15,11,29,26,30,16,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),29,12,17,7,7,4,3,3,3,8,7,7,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),77,42,35,7,7,16,13,12,8,21,20,23,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),55,35,20,4,4,12,8,15,9,7,11,15,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),16,9,7,3,3,1,6,1,2,2,5,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.67,1.58,1.78,1.89,1.88,1.69,1.43,1.57,1.51,1.92,1.68,1.68,1.76,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.86,0.82,0.89,1.05,1.07,0.75,0.94,0.73,0.86,0.8,0.88,0.82,0.85,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,155,82,73,19,18,27,34,24,18,33,47,39,28,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,177,89*,88*,20**,19**,31**,43**,27**,19**,36**,50*,40*,43**,45*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,NET: More,88,45,43,10,10,19,20,14,10,13,27,16,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A lot more          (+3),24,9,15,3,3,6,5,4,1,5,11,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A little more       (+2),64,36,28,8,8,13,15,10,9,9,16,13,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,About the same      (+1),76,39,37,8,7,8,23,10,7,20,22,24,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Don't use            (0),13,6,8,2,2,4,-,2,2,3,1,-,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.55,1.53,1.57,1.56,1.59,1.68,1.59,1.62,1.44,1.41,1.75,1.48,1.52,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.82,0.77,0.87,0.84,0.85,0.94,0.7,0.86,0.8,0.83,0.83,0.64,0.75,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,173,100,73,19,18,28,30,32,28,36,52,49,24,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,175,101*,74*,22**,21**,28**,29**,33**,26**,36*,47*,54*,25**,49*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,NET: More,80,44,36,15,15,10,11,19,13,11,21,21,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A lot more          (+3),31,15,16,6,6,5,6,8,3,3,6,11,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A little more       (+2),49,29,20,9,9,4,6,11,10,9,14,10,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,About the same      (+1),82,51,30,7,5,16,17,13,11,18,24,28,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Don't use            (0),13,6,7,-,-,2,*,2,2,7,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
