table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,32,18,14,11,10,11,2,3,2,3,16,4,3,9,1,-,3,1,2,2,2,-,10,7,4,-,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,34**,18**,16**,13**,11**,11**,2**,4**,1**,3**,16**,4**,4**,9**,1**,-**,3**,1**,3**,3**,2**,-**,11**,7**,4**,-**,31**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,11,7,3,1,1,5,-,2,1,2,8,1,-,2,-,-,1,1,1,1,1,-,3,3,*,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,3,1,1,-,-,1,-,1,-,-,1,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,4,8,6,2,1,1,4,-,1,1,2,6,1,-,*,-,-,1,1,-,-,1,-,3,3,*,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,3,12,4,8,5,5,4,2,-,1,1,6,1,2,2,-,-,2,-,1,-,1,-,4,3,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,2,8,6,2,5,5,2,-,2,-,-,1,2,3,3,1,-,-,-,-,-,-,-,4,-,3,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,3,1,2,2,-,1,-,-,-,1,1,-,-,2,-,-,-,-,-,2,-,-,1,1,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,11,7,5,7,5,2,-,2,-,1,2,2,3,5,1,-,-,-,-,2,-,-,5,1,3,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.97,3.08,2.84,2.46,2.66,3.32,3,3.5,3.39,2.94,3.41,2.92,2.41,2.49,2,-,3.24,4,4,2.88,3.26,-,2.76,3.18,2.21,-,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.1,1.1,1.13,0.88,0.72,1.1,-,1.63,-,1.53,0.95,0.95,0.56,1.4,-,-,0.53,-,1.23,2.48,-,-,0.92,1.08,0.72,-,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,52,23,29,16,15,13,10,6,5,2,19,11,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,53*,22**,31**,21**,20**,10**,10**,6**,5**,1**,20**,12**,8**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,13,9,4,*,*,2,6,3,2,-,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,2,1,1,-,-,-,2,-,-,-,-,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,4,11,8,3,*,*,2,3,3,2,-,4,-,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,3,19,7,12,9,9,4,2,3,-,1,7,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,2,16,5,11,10,8,3,2,1,-,1,7,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,5,1,4,2,2,1,-,-,3,-,3,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,22,6,15,12,10,3,2,1,3,1,9,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,Mean,2.78,3.15,2.52,2.4,2.43,2.82,3.58,3.28,2.25,2.61,2.6,2.59,3.51,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,1.03,1.02,0.96,0.68,0.7,0.88,1.14,0.76,1.64,-,0.96,0.94,1.03,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,45,19,26,17,14,12,7,3,2,4,14,17,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,48*,22**,26**,22**,19**,11**,6**,2**,2**,4**,13**,16**,8**,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,5,3,3,1,1,2,2,1,-,-,1,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,*,-,*,-,-,-,-,*,-,-,*,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,4,5,3,2,1,1,2,2,1,-,-,1,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,3,20,8,12,11,11,6,2,-,*,1,5,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,2,15,6,9,8,4,1,2,1,1,2,5,8,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,8,5,3,3,3,2,1,-,-,2,2,2,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,23,11,12,11,7,3,3,1,1,3,7,9,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,Mean,2.49,2.39,2.56,2.4,2.48,2.72,2.62,3.39,2.28,1.69,2.44,2.43,2.74,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.92,0.98,0.87,0.77,0.82,0.97,1.11,1.56,-,0.82,0.95,0.82,0.47,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,51,23,28,12,10,16,12,2,4,5,19,12,10,10,6,3,8,2,7,1,3,5,9,6,1,,,12,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,55*,23**,31**,13**,10**,15**,12**,4**,5**,5**,19**,12**,10**,14**,5**,5**,9**,2**,8**,1**,4**,4**,8**,8**,1**,,,13**,18**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,15,7,8,1,1,4,5,3,2,*,5,2,1,7,1,3,2,-,3,-,-,1,1,5,1,,,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,3,2,1,-,-,2,-,-,1,*,2,1,-,1,-,-,-,-,2,-,-,1,*,-,1,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,4,12,5,7,1,1,1,5,3,1,-,4,1,1,6,1,3,2,-,1,-,-,-,1,5,-,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,3,18,8,11,3,1,6,4,-,3,2,8,3,3,4,4,2,4,-,2,-,3,2,1,1,-,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,2,16,8,8,6,4,5,3,1,-,1,4,5,5,2,1,-,3,2,1,-,1,1,5,2,-,,,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,5,1,4,4,4,-,-,-,-,1,1,1,1,1,-,-,-,-,2,1,-,-,1,-,-,,,-,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
