table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,357,188,169,41,38,46,57,74,56,83,104,89,78,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,357,190,167,44*,40*,49*,55*,70*,55*,83*,99*,103*,72*,82*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,272,138,134,34,31,33,44,52,43,65,82,74,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,89,40,49,12,10,11,12,19,9,26,27,24,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,4,182,98,85,22,21,22,31,33,34,40,55,50,38,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,3,78,46,32,10,10,13,12,18,12,14,15,27,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,2,2,2,-,-,-,-,-,-,-,2,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,5,4,1,-,-,2,-,-,-,2,1,3,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,7,6,1,-,-,2,-,-,-,4,2,3,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.98,3.88,4.09,4.05,4.01,3.81,4.01,4.02,3.95,4.01,4.07,3.9,4.02,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.78,0.82,0.73,0.71,0.71,0.96,0.67,0.73,0.62,0.91,0.76,0.85,0.69,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,226,126,100,20,19,30,23,45,47,61,71,67,40,48,24,12,13,18,18,16,11,16,36,35,19,8,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,214,122,92*,20**,19**,31**,24**,41*,42*,57*,65*,61*,39*,50*,25**,11**,15**,16**,18**,14**,8**,13**,34*,35**,19**,6**,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,170,98,71,15,14,24,20,35,35,41,49,52,29,39,21,9,13,16,13,10,5,9,28,25,16,5,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,54,30,24,3,3,9,7,11,14,9,17,16,5,16,11,4,1,8,2,3,1,4,6,7,7,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,4,116,68,48,12,11,14,12,24,21,32,32,36,25,23,10,5,12,8,11,7,5,5,22,18,9,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,3,33,17,16,4,4,4,4,2,7,13,10,8,9,7,3,3,2,1,5,2,1,4,6,4,3,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,2,11,7,4,1,1,3,1,4,-,2,6,1,-,4,1,-,-,-,-,2,1,1,-,6,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,12,7,4,1,1,3,1,4,-,3,6,1,1,4,1,-,-,-,-,2,1,1,1,6,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.99,3.99,3.98,3.86,3.85,3.97,4.12,4.04,4.17,3.81,3.93,4.11,3.85,4.01,4.23,4.09,3.91,4.46,3.83,3.81,3.74,3.87,3.94,3.74,4.21,4.14,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.8,0.79,0.81,0.75,0.77,0.93,0.75,0.83,0.69,0.79,0.89,0.67,0.69,0.9,0.84,0.77,0.44,0.58,0.59,1.01,0.84,0.91,0.71,0.99,0.7,0.61,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,312,159,153,39,35,33,62,66,38,74,112,86,45,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,328,158,170,41*,38**,35**,62*,70*,39**,81*,105*,84*,69*,70*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,255,114,141,37,35,24,44,56,35,59,79,64,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,99,43,56,19,18,12,14,16,9,30,35,21,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,4,156,71,85,19,17,12,31,40,26,29,43,43,37,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,3,59,31,27,4,3,8,15,12,4,16,21,17,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,2,12,9,2,-,-,3,1,1,*,5,5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,3,3,-,-,-,-,1,1,-,1,1,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,14,12,2,-,-,3,3,2,*,6,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,Mean,4.03,3.91,4.14,4.36,4.38,3.92,3.88,4,4.09,4.02,4.02,3.97,4.07,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.83,0.92,0.73,0.66,0.65,0.98,0.85,0.75,0.6,0.97,0.89,0.81,0.77,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
