table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,51,30,21,13,10,9,6,11,4,8,15,16,10,10,5,3,7,5,10,4,1,4,3,4,2,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,53*,32**,21**,12**,9**,11**,5**,13**,4**,7**,16**,15**,11**,11**,6**,3**,9**,5**,11**,3**,1**,3**,3**,4**,2**,2**,44*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,38,25,13,9,8,6,5,10,1,7,15,9,5,9,5,3,5,4,6,2,1,3,3,3,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,11,10,1,3,3,3,1,4,1,-,5,1,2,3,2,1,-,1,1,1,-,1,3,1,-,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,4,27,15,11,6,5,3,4,6,-,7,10,8,2,6,4,1,5,3,5,2,1,2,-,1,2,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,3,14,6,8,3,2,4,-,3,4,-,1,6,5,2,1,-,4,1,5,1,-,1,-,1,1,-,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,2,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,1,1,-,-,-,1,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Community Radio,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.89,4.04,3.68,3.99,4.15,3.71,3.88,4.12,3.23,4,4.17,3.7,3.58,4.05,4.12,4.52,3.53,3.97,3.65,4.04,4,4.04,4.34,4.1,3.65,3.8,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
