table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,629,286,343,86,74,111,108,110,82,132,192,161,117,159,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,630,293,337,97*,83*,113*,102*,103*,78*,136,182,191,111,146,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,511,236,275,83,69,88,84,82,69,106,152,149,98,113,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,272,129,143,48,40,45,41,44,38,55,81,72,55,65,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,4,239,107,133,35,29,42,43,37,31,51,71,77,43,48,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,3,95,47,48,13,13,22,14,19,9,18,23,33,11,27,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,2,18,9,9,1,1,3,2,2,1,10,5,8,1,5,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,5,1,4,-,-,1,2,-,-,2,2,1,1,2,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,24,11,13,1,1,4,4,2,1,12,7,8,2,6,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Government website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.2,4.21,4.19,4.34,4.3,4.13,4.16,4.2,4.36,4.09,4.23,4.11,4.35,4.16,,,,,,
