table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,452,201,251,74,63,75,85,68,47,103,143,106,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,458,209,249,80*,67*,78*,83*,63*,45*,109*,136,128*,85*,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,427,196,231,77,63,75,71,60,44,100,126,120,82,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,285,138,147,52,41,53,38,41,34,68,86,77,54,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,4,142,58,84,24,23,23,33,19,10,33,39,43,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,3,21,10,11,4,4,1,6,2,*,8,6,8,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,2,8,2,6,-,-,1,5,1,-,1,2,-,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,3,1,1,-,-,1,1,-,-,-,2,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,10,3,7,-,-,2,6,1,-,1,4,-,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.53,4.58,4.48,4.61,4.56,4.6,4.22,4.57,4.76,4.52,4.51,4.54,4.56,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.72,0.69,0.74,0.57,0.6,0.72,0.93,0.65,0.46,0.69,0.78,0.61,0.69,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,226,102,124,28,23,50,36,43,23,46,73,79,34,40,31,11,28,15,21,15,7,16,30,28,18,6,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,222,103*,119,31**,25**,49*,32*,42*,20**,49*,68*,80*,30**,43*,31**,10**,33**,14**,22**,14**,6**,17**,32**,27**,13**,5**,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,210,94,115,31,25,44,29,40,19,46,65,74,28,42,30,8,29,14,22,12,5,17,32,25,11,4,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,135,64,70,21,15,29,21,29,9,25,41,44,18,31,23,3,17,5,16,8,4,8,24,16,8,1,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,4,75,30,45,10,10,15,8,11,10,21,24,30,10,11,7,5,12,9,5,4,1,9,8,9,3,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,3,11,8,4,-,-,4,3,1,1,2,2,6,2,1,1,1,3,-,-,1,*,-,1,1,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,2,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.55,4.54,4.56,4.67,4.59,4.48,4.58,4.67,4.43,4.47,4.54,4.47,4.56,4.69,4.7,4.2,4.44,4.39,4.76,4.49,4.66,4.48,4.71,4.51,4.51,4.12,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.61,0.66,0.56,0.48,0.5,0.72,0.65,0.54,0.58,0.6,0.61,0.64,0.61,0.53,0.56,0.67,0.67,0.51,0.44,0.69,0.63,0.52,0.51,0.71,0.73,0.72,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,337,160,177,56,46,65,57,63,41,55,102,97,47,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,330,153,178,56*,47*,67*,53*,57*,42*,56*,98*,88*,61*,84*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,309,140,169,53,44,63,51,50,41,51,93,85,55,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,209,93,116,46,38,45,31,31,23,34,61,57,38,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,4,99,46,53,7,6,18,20,19,18,17,32,28,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,3,18,10,8,3,3,3,1,6,1,5,4,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,2,4,3,1,-,-,2,*,2,-,-,2,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,4,3,1,-,-,2,*,2,-,-,2,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Mean,4.56,4.51,4.6,4.77,4.75,4.58,4.56,4.37,4.53,4.52,4.54,4.62,4.54,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.65,0.7,0.61,0.52,0.55,0.69,0.58,0.8,0.55,0.65,0.66,0.57,0.66,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,322,160,162,45,42,74,51,60,47,45,115,81,61,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,318,152,167,52*,46*,69*,49*,59*,46*,44*,106,86*,60*,65*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,297,143,153,51,45,67,40,55,42,42,99,82,57,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,174,79,95,38,36,37,28,27,21,22,66,42,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,4,123,64,58,13,10,29,12,27,21,20,33,39,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,3,18,7,12,1,1,1,8,4,3,1,5,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,2,2,1,2,-,-,1,1,-,-,-,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,1,1,-,-,-,-,-,-,1,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,3,1,2,-,-,1,1,-,1,-,2,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,Mean,4.47,4.45,4.48,4.71,4.74,4.49,4.36,4.4,4.35,4.48,4.54,4.44,4.5,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.66,0.65,0.67,0.5,0.49,0.63,0.82,0.61,0.75,0.57,0.71,0.6,0.65,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,298,146,152,39,32,56,43,52,49,59,92,76,62,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,303,146,157,49*,41**,63*,39*,51*,44*,57*,101*,75*,60*,67*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,278,136,142,46,38,60,37,46,37,52,94,67,55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,167,79,87,30,25,28,21,32,17,38,52,40,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,4,111,57,55,16,13,32,16,14,21,14,41,27,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,3,25,11,15,3,3,4,2,5,7,5,7,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from NHS website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
