table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,302,138,164,31,28,59,45,50,47,70,87,103,53,59,20,17,35,25,32,24,11,30,39,42,24,3,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,293,135,157,32**,28**,58*,39*,50*,43*,72*,83*,102*,46*,62*,19**,15**,42*,23**,32**,23**,8**,30**,38*,41*,20**,2**,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,226,106,121,28,24,43,30,37,35,55,67,77,36,47,14,6,32,19,25,16,5,24,33,33,18,1,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,107,48,59,15,10,25,12,20,16,19,26,36,21,24,5,4,11,10,13,8,3,10,17,18,7,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,4,119,57,62,13,13,18,17,17,18,36,42,40,15,22,9,2,21,10,12,9,2,14,16,15,10,-,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,3,36,16,19,2,2,12,5,8,1,7,7,14,6,8,4,5,7,1,5,2,1,1,5,4,-,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,2,22,8,14,2,2,2,2,2,6,8,5,8,3,6,1,4,3,1,3,2,1,4,1,2,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,9,6,3,-,-,1,3,2,1,2,4,3,1,1,-,1,-,1,-,3,1,1,-,2,1,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,31,13,17,2,2,3,4,4,8,10,8,11,5,7,1,4,3,2,3,4,2,5,1,4,2,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4,3.99,4.01,4.27,4.16,4.13,3.89,4.01,3.97,3.86,3.97,3.98,4.08,4.02,3.95,3.3,3.96,4.16,4.09,3.74,3.8,3.97,4.29,4.1,4.11,3.27,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
