table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,182,87,95,37,37,40,40,20,19,26,56,43,37,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,184,84*,100*,42*,42*,39*,41*,18**,16**,28**,51*,52*,35*,45*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,154,70,84,36,36,34,30,16,14,23,44,44,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,88,43,46,24,24,20,22,8,6,8,27,24,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,4,65,27,38,12,12,14,8,8,8,15,17,20,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,3,24,9,15,4,4,2,8,2,2,6,4,6,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,2,3,2,1,1,1,1,1,-,-,-,1,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,4,3,1,-,-,2,2,-,-,-,2,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,6,5,1,1,1,3,2,-,-,-,3,2,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.26,4.24,4.27,4.43,4.43,4.26,4.18,4.33,4.27,4.07,4.3,4.25,4.33,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.88,0.98,0.8,0.8,0.8,1.04,1.08,0.69,0.66,0.69,0.99,0.87,0.68,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,78,38,40,13,13,20,15,9,12,9,26,27,15,10,11,7,7,7,9,6,2,3,9,7,7,3,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,68*,34*,34*,13**,13**,17**,12**,6**,9**,10**,23**,21**,13**,11**,9**,5**,8**,7**,9**,5**,1**,3**,6**,7**,5**,3**,55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,58,29,29,11,11,14,10,6,7,9,19,17,11,11,8,5,7,6,8,2,1,3,4,7,4,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,31,13,18,8,8,8,4,4,3,4,12,10,6,4,6,2,2,5,2,2,-,2,2,6,3,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,4,27,15,12,3,3,6,6,2,4,5,8,7,6,7,2,3,5,1,5,*,1,1,2,1,2,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,3,6,2,3,2,2,2,-,-,1,1,2,3,-,1,1,-,1,-,1,2,-,-,1,-,-,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,2,2,-,2,-,-,-,1,-,1,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,2,2,-,-,-,1,1,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,4,2,2,-,-,1,2,-,1,-,1,2,1,-,-,-,-,1,-,1,-,-,1,-,1,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.22,4.12,4.32,4.42,4.42,4.21,3.89,4.65,4.04,4.29,4.28,4.17,4.13,4.29,4.57,4.38,4.06,4.4,4.19,3.23,4,4.6,3.63,4.82,4.21,4.47,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.96,1.05,0.85,0.79,0.79,1.04,1.32,0.52,0.98,0.64,0.98,0.96,1.24,0.58,0.67,0.54,0.62,1.1,0.62,1.7,-,0.6,1.42,0.42,1.18,0.63,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,145,60,85,27,24,34,29,28,13,14,48,36,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,134,54*,81*,22**,20**,34**,25**,26**,12**,15**,47*,27**,22**,37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,117,42,74,22,19,34,22,17,10,12,42,24,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,62,21,41,13,12,20,10,7,5,7,25,9,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,4,54,21,33,9,8,13,12,10,5,5,17,16,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,3,13,9,4,1,1,1,1,7,2,3,3,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,2,3,2,1,-,-,-,2,1,-,-,2,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,2,-,2,-,-,-,-,2,-,-,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,4,2,2,-,-,-,2,3,-,-,2,2,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from World Health Organisation (WHO) website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Mean,4.28,4.14,4.38,4.56,4.56,4.57,4.21,3.73,4.28,4.31,4.35,4.08,4.49,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
