table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,36,22,14,9,7,7,6,6,2,6,14,9,5,8,1,2,2,4,3,5,1,3,5,5,3,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,43*,26**,17**,11**,9**,8**,7**,8**,1**,8**,17**,11**,4**,11**,1**,3**,1**,5**,2**,6**,1**,4**,7**,7**,3**,2**,39**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,22,17,5,6,4,6,2,5,1,3,12,4,*,5,-,2,1,3,1,4,-,-,4,3,2,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,7,5,1,2,2,3,-,-,1,1,4,1,*,1,-,-,*,-,-,2,-,-,3,-,-,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,4,16,12,4,4,3,3,2,5,-,2,8,4,-,4,-,2,1,3,1,2,-,-,1,3,2,-,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,3,17,6,11,3,1,2,4,3,1,4,4,4,3,5,1,1,-,2,2,1,1,4,2,-,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,2,4,3,1,3,3,-,-,-,-,1,1,3,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,4,3,1,3,3,-,1,-,-,1,1,3,1,-,-,-,-,-,-,-,-,-,1,4,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.56,3.71,3.33,3.46,3.42,4.17,3.11,3.61,3.86,3.4,3.92,3.19,2.94,3.63,3,3.56,4.29,3.59,3.23,4.1,3,3,3.88,2.95,3.74,4.08,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.9,0.99,0.71,1.07,1.21,0.82,0.82,0.52,-,0.94,0.86,0.9,1.05,0.73,-,0.6,-,0.54,0.56,0.82,-,*,1.3,1.08,0.52,1.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,31,21,10,5,5,10,3,8,3,2,15,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,26**,18**,8**,5**,5**,9**,2**,7**,2**,2**,14**,6**,4**,3**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Magazines,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,14,11,3,2,2,6,1,4,1,1,10,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
