table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,51,33,18,2,2,6,11,14,7,11,15,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,52*,33**,18**,1**,1**,6**,12**,14**,7**,12**,14**,11**,11**,16**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,20,13,8,1,1,2,6,7,1,3,5,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,5,3,2,-,-,-,2,1,-,2,-,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,4,16,10,6,1,1,2,4,7,1,1,5,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,3,20,14,6,-,-,3,6,3,3,6,4,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,2,9,5,4,-,-,1,1,2,3,2,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,2,2,-,-,-,-,-,1,-,2,1,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,11,7,4,-,-,1,1,3,3,4,5,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.22,3.19,3.27,4,4,3.2,3.52,3.32,2.8,2.94,2.97,2.88,3.59,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.99,1.02,0.97,-,-,0.76,0.91,1.04,0.82,1.23,0.96,1.15,0.92,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,41,28,13,3,3,9,9,7,9,4,10,10,11,10,3,1,6,3,5,5,1,3,3,5,3,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,42*,29**,12**,3**,3**,10**,11**,6**,9**,3**,10**,10**,10**,12**,4**,1**,7**,4**,5**,5**,1**,2**,2**,5**,2**,3**,33**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,20,16,4,-,-,4,9,4,2,-,3,6,6,5,3,-,4,3,4,2,-,1,1,1,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,2,1,2,-,-,-,2,-,-,-,1,-,1,1,-,-,-,-,1,-,-,1,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,4,17,15,2,-,-,4,7,4,2,-,3,6,5,4,3,-,4,3,3,2,-,-,1,1,1,-,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,3,10,6,3,1,1,1,1,1,3,2,1,2,3,4,1,1,1,1,2,2,-,1,1,-,-,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,2,8,6,1,-,-,2,1,-,3,1,4,2,1,1,-,-,-,-,-,1,-,-,-,3,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,5,1,4,2,2,3,-,-,-,-,2,-,-,3,-,-,2,-,-,-,1,-,1,1,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,12,7,5,2,2,5,1,-,3,1,6,2,1,3,-,-,2,-,-,1,1,-,1,4,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.12,3.3,2.69,1.58,1.58,2.66,3.89,3.77,2.9,2.76,2.54,3.42,3.51,3.01,3.74,3,3.13,3.84,3.79,3.11,1,3.62,2.48,2.11,3.18,3.06,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.15,0.95,1.48,1.09,1.09,1.32,0.91,0.46,0.83,0.53,1.33,0.82,0.86,1.34,0.5,-,1.36,0.43,0.73,0.9,-,1.3,1.63,0.95,-,1.73,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,47,36,11,3,3,2,5,15,9,13,16,10,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
