table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,71,46,25,14,11,9,16,5,12,15,24,18,11,18,4,1,6,3,2,7,5,7,14,12,7,3,59
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,75*,52*,24**,17**,14**,10**,17**,5**,11**,15**,24**,23**,12**,16**,5**,2**,8**,2**,2**,7**,5**,8**,13**,12**,8**,3**,62*
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,46,32,14,9,8,10,9,2,9,7,15,13,10,8,3,-,6,2,2,6,1,5,10,7,1,2,39
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,13,10,3,4,4,3,1,2,2,2,4,5,-,3,-,-,2,1,1,1,-,2,2,2,-,2,11
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,4,33,21,12,5,4,8,8,-,7,6,11,8,10,4,3,-,4,1,2,5,1,3,8,5,1,-,29
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,3,29,19,9,8,6,-,8,3,2,8,9,9,2,8,2,2,2,-,-,2,4,3,3,5,7,1,22
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,2,1,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,1,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.77,3.79,3.71,3.74,3.82,4.27,3.53,3.7,3.97,3.6,3.76,3.78,3.84,3.71,3.61,3,4.02,4.4,4.26,3.93,3.28,3.94,3.85,3.74,3.17,4.36,3.79
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.73,0.77,0.66,0.81,0.86,0.47,0.69,1.07,0.63,0.7,0.72,0.86,0.38,0.83,0.55,-,0.76,0.66,0.59,0.64,0.5,0.86,0.76,0.72,0.4,1.15,0.73
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,63,37,26,12,12,9,15,13,6,8,15,20,15,13,7,1,7,4,6,6,2,7,8,6,8,1,53
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,63*,39*,25**,12**,12**,10**,15**,12**,5**,9**,15**,20**,15**,14**,7**,1**,7**,5**,6**,6**,1**,7**,7**,6**,9**,1**,54*
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,31,20,12,9,9,3,4,7,-,7,10,11,5,5,3,-,3,2,3,3,1,4,4,5,3,-,27
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,3,2,1,2,2,-,*,-,-,1,1,*,1,1,-,-,1,-,-,-,-,-,2,-,-,-,3
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,4,28,17,11,7,7,3,4,7,-,7,9,11,4,4,3,-,2,2,3,3,1,4,2,5,3,-,24
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,3,26,16,10,2,2,8,8,3,4,2,4,5,10,8,2,1,4,1,2,4,-,3,3,1,6,-,24
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,2,3,1,2,1,1,-,1,-,1,-,-,2,1,-,1,-,-,1,-,-,-,-,-,-,*,1,2
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,3,2,1,-,-,-,1,2,-,-,1,1,-,1,1,-,-,1,1,-,-,-,-,-,-,-,2
Table 86,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker/ display (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,6,3,3,1,1,-,2,2,1,-,1,3,1,1,2,-,-,2,1,-,-,-,-,-,*,1,3
