table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,38,16,22,3,3,5,7,6,10,7,12,12,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,41*,19**,22**,3**,3**,5**,8**,6**,10**,9**,12**,15**,10**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,30,16,14,3,3,2,8,5,6,7,7,12,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,15,7,8,2,2,2,-,4,2,5,3,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,4,15,10,5,1,1,-,8,1,4,1,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,3,11,3,8,-,-,3,-,1,4,2,5,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.11,4.21,4.01,4.66,4.66,3.64,4,4.56,3.8,4.33,3.78,4.25,4.37,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.8,0.68,0.89,0.59,0.59,1.04,0,0.82,0.79,0.9,0.81,0.84,0.63,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,38,15,23,1,1,5,2,11,11,8,15,12,4,7,-,-,-,-,-,-,-,-,-,-,-,38,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,36*,15**,21**,1**,1**,4**,2**,11**,9**,8**,14**,12**,3**,7**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,36*,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,30,12,18,1,1,2,1,9,9,8,13,9,2,6,-,-,-,-,-,-,-,-,-,-,-,30,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,12,3,9,1,1,1,1,2,4,3,4,6,-,2,-,-,-,-,-,-,-,-,-,-,-,12,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,4,18,9,9,-,-,1,-,7,5,6,9,3,2,4,-,-,-,-,-,-,-,-,-,-,-,18,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,3,6,2,3,-,-,2,1,2,1,-,1,3,1,1,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
