table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2097,1007,1090,265,234,334,342,377,314,465,599,509,444,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2099,1027,1072,292,256,346,325,360,302,474,572,595,424,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - TV,417,187,231,60,48,57,58,83,60,99,116,123,85,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from Government website/ email/ text/ post,233,107,126,47,40,41,44,36,25,39,70,69,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Direct from NHS website/ email/ text/ post,162,76,86,37,28,28,29,28,13,27,49,47,27,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,ITV,129,52,77,13,12,11,22,30,19,34,32,31,25,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Family and friends directly,124,49,75,32,22,19,20,19,10,25,38,36,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,BBC - Online/ app,115,52,63,25,23,25,22,20,10,14,44,39,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Sky,96,52,44,11,9,14,21,25,11,13,20,28,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q6. Altered behaviour over last week,ONLINE Fieldwork: 9th to 13th April 2020,Newspapers (online),93,49,44,13,11,7,18,23,11,21,30,25,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
