table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,1040,517,523,157,146,181,190,165,136,211,330,265,212,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,1049,531,519,173,158,188,184,157,128,219,322,305,202,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,NET: At least once a day,656,355,301,120,110,132,120,101,77,106,207,187,133,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,20 times or more a day,31,19,12,4,4,10,10,5,-,1,7,10,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,10-19 times a day,44,25,19,9,7,12,7,7,4,5,18,8,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,5-9 times a day,106,46,59,27,22,26,15,14,6,18,29,40,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,2-4 times a day,254,143,111,37,37,45,50,39,37,46,89,62,48,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,About once a day,222,122,100,43,40,39,38,36,30,37,64,68,48,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,A few times a week,250,118,132,35,30,35,44,39,32,65,71,76,40,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q9. Frequency of coming across information/news that you know to be false or misleading,ONLINE Fieldwork: 9th to 13th April 2020,Less than a few times a week,144,58,86,18,17,21,19,18,20,48,44,42,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
