table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Working,1197,651,547,146,144,295,260,267,161,68,366,366,274,192,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Working full time working 30 hours per week or more,944,584,360,106,106,251,220,210,120,38,306,292,221,125,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Working part time working between 8 and 29 hours per week,253,66,187,40,38,44,40,57,42,30,60,74,53,67,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Not working,930,389,540,148,114,60,69,99,145,409,212,234,158,325,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Not working but seeking work or temporarily unemployed or sick,95,52,44,12,12,17,18,30,13,4,10,9,8,68,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Not working and not seeking work/ student,238,98,140,133,99,18,17,34,32,4,54,70,20,93,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Retired on a state pension only,124,35,90,-,-,-,-,-,2,122,7,19,21,78,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,Retired with a private pension,340,191,149,-,-,-,2,-,67,271,121,121,68,30,,,,,,
Table 106,Which of the following best describes your current working status?,ONLINE Fieldwork: 9th to 13th April 2020,"House person, housewife, househusband, etc.",132,14,118,3,3,25,31,35,31,7,20,15,41,55,,,,,,
Table 95,Which of the following best describes your current working status?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,
Table 95,Which of the following best describes your current working status?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,
Table 95,Which of the following best describes your current working status?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Working,1203,653,550,173,170,281,275,269,150,55,352,377,274,200,,,,,,
Table 95,Which of the following best describes your current working status?,ONLINE Fieldwork: 17th to 19th April 2020,Working full time working 30 hours per week or more,948,572,376,141,141,240,219,216,110,23,295,297,211,144,,,,,,
Table 95,Which of the following best describes your current working status?,ONLINE Fieldwork: 17th to 19th April 2020,Working part time working between 8 and 29 hours per week,254,80,174,32,29,41,56,53,40,33,56,80,63,55,,,,,,
Table 95,Which of the following best describes your current working status?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Not working,933,392,542,122,97,76,56,98,158,423,229,225,160,319,,,,,,
