date,area_type,area_code,area_name,metric,metric_name,value
2022-01-01,region,E12000004,East Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1562.0
2022-01-01,region,E12000008,South East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1494.6
2022-01-01,region,E12000003,Yorkshire and The Humber,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1566.3
2022-01-01,region,E12000007,London,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1855.9
2022-01-01,region,E12000001,North East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1509.2
2022-01-01,region,E12000009,South West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1198.5
2022-01-01,region,E12000005,West Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1484.4
2022-01-01,region,E12000002,North West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1988.8
2022-01-01,region,E12000006,East of England,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1665.6
2022-01-02,region,E12000004,East Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1593.6
2022-01-02,region,E12000003,Yorkshire and The Humber,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1706.0
2022-01-02,region,E12000008,South East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1468.7
2022-01-02,region,E12000001,North East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1657.2
2022-01-02,region,E12000009,South West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1217.0
2022-01-02,region,E12000007,London,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1829.2
2022-01-02,region,E12000006,East of England,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1681.1
2022-01-02,region,E12000005,West Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1524.9
2022-01-02,region,E12000002,North West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,2058.1
2022-01-03,region,E12000002,North West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,2196.7
2022-01-03,region,E12000005,West Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1639.0
2022-01-03,region,E12000009,South West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1255.4
2022-01-03,region,E12000007,London,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1805.4
2022-01-03,region,E12000001,North East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1810.9
2022-01-03,region,E12000006,East of England,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1744.5
2022-01-03,region,E12000008,South East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1510.8
2022-01-03,region,E12000004,East Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1718.6
2022-01-03,region,E12000003,Yorkshire and The Humber,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1771.9
2022-01-04,region,E12000006,East of England,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1762.0
2022-01-04,region,E12000007,London,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1789.3
2022-01-04,region,E12000002,North West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,2321.2
2022-01-04,region,E12000009,South West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1323.7
2022-01-04,region,E12000001,North East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,2031.5
2022-01-04,region,E12000003,Yorkshire and The Humber,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1858.7
2022-01-04,region,E12000008,South East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1535.8
2022-01-04,region,E12000004,East Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1820.1
2022-01-04,region,E12000005,West Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1669.5
2022-01-05,region,E12000009,South West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1354.9
2022-01-05,region,E12000007,London,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1787.4
2022-01-05,region,E12000002,North West,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,2265.8
2022-01-05,region,E12000003,Yorkshire and The Humber,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1891.0
2022-01-05,region,E12000008,South East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1546.2
2022-01-05,region,E12000004,East Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1873.7
2022-01-05,region,E12000001,North East,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,2205.4
2022-01-05,region,E12000006,East of England,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1732.4
2022-01-05,region,E12000005,West Midlands,newCasesByPublishDateRollingRate,New cases by publish date rolling rate,1756.5
