date,area_type,area_code,area_name,metric,metric_name,value
2023-01-01,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,461.0
2023-01-01,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,85.0
2023-01-01,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,223.0
2023-01-01,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,251.0
2023-01-01,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,208.0
2023-01-01,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,318.0
2023-01-01,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,301.0
2023-01-01,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,184.0
2023-01-01,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,202.0
2023-01-02,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,243.0
2023-01-02,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,444.0
2023-01-02,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,264.0
2023-01-02,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,352.0
2023-01-02,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,117.0
2023-01-02,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,432.0
2023-01-02,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,272.0
2023-01-02,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,263.0
2023-01-02,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,580.0
2023-01-03,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,266.0
