date,area_type,area_code,area_name,metric,metric_name,value
2021-01-01,region,E12000009,South West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,1844.0
2021-01-01,region,E12000007,London,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,6727.0
2021-01-01,region,E12000005,West Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,3036.0
2021-01-01,region,E12000004,East Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,1681.0
2021-01-01,region,E12000002,North West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,2907.0
2021-01-01,region,E12000001,North East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,969.0
2021-01-01,region,E12000003,Yorkshire and The Humber,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,1494.0
2021-01-01,region,E12000008,South East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,5556.0
2021-01-01,region,E12000006,East of England,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,4067.0
2021-01-02,region,E12000001,North East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,1810.0
2021-01-02,region,E12000009,South West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,3084.0
2021-01-02,region,E12000007,London,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,13538.0
2021-01-02,region,E12000006,East of England,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,7217.0
2021-01-02,region,E12000002,North West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,6545.0
2021-01-02,region,E12000005,West Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,5657.0
2021-01-02,region,E12000003,Yorkshire and The Humber,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,2755.0
2021-01-02,region,E12000004,East Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,3453.0
2021-01-02,region,E12000008,South East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,9610.0
2021-01-03,region,E12000009,South West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,2846.0
2021-01-03,region,E12000006,East of England,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,6397.0
2021-01-03,region,E12000008,South East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,8403.0
2021-01-03,region,E12000002,North West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,6208.0
2021-01-03,region,E12000003,Yorkshire and The Humber,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,2433.0
2021-01-03,region,E12000004,East Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,3023.0
2021-01-03,region,E12000007,London,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,13008.0
2021-01-03,region,E12000005,West Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,4877.0
2021-01-03,region,E12000001,North East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,1709.0
2021-01-04,region,E12000007,London,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,17145.0
2021-01-04,region,E12000009,South West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,4224.0
2021-01-04,region,E12000005,West Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,7158.0
2021-01-04,region,E12000008,South East,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,12569.0
2021-01-04,region,E12000003,Yorkshire and The Humber,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,3527.0
2021-01-04,region,E12000006,East of England,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,9278.0
2021-01-04,region,E12000002,North West,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,7795.0
2021-01-04,region,E12000004,East Midlands,newCasesPCROnlyBySpecimenDate,New cases PCR only by specimen date,4306.0
