date,area_type,area_code,area_name,metric,metric_name,value
2022-01-01,region,E12000007,London,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,12417.0
2022-01-01,region,E12000005,West Midlands,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,9872.0
2022-01-01,region,E12000009,South West,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,6945.0
2022-01-01,region,E12000006,East of England,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,8893.0
2022-01-01,region,E12000008,South East,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,12263.0
2022-01-01,region,E12000001,North East,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,5544.0
2022-01-01,region,E12000003,Yorkshire and The Humber,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,9904.0
2022-01-01,region,E12000004,East Midlands,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,7892.0
2022-01-01,region,E12000002,North West,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,15353.0
2022-01-02,region,E12000001,North East,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,8314.0
2022-01-02,region,E12000002,North West,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,23307.0
2022-01-02,region,E12000005,West Midlands,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,14243.0
2022-01-02,region,E12000009,South West,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,10758.0
2022-01-02,region,E12000006,East of England,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,13223.0
2022-01-02,region,E12000003,Yorkshire and The Humber,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,14612.0
2022-01-02,region,E12000008,South East,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,16876.0
2022-01-02,region,E12000007,London,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,19914.0
2022-01-02,region,E12000004,East Midlands,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,11504.0
2022-01-03,region,E12000005,West Midlands,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,18565.0
2022-01-03,region,E12000009,South West,newFirstEpisodesBySpecimenDate,New first episodes by specimen date,12946.0
