date,area_type,area_code,area_name,metric,metric_name,value
2020-12-08,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,17.0
2020-12-08,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-08,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-08,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-08,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-08,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,75.0
2020-12-08,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-08,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,20.0
2020-12-08,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-09,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,14.0
2020-12-09,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,28.0
2020-12-09,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,15.0
2020-12-09,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-09,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-09,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,41.0
2020-12-09,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,25.0
2020-12-09,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-09,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-10,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,43.0
2020-12-10,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-10,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,10.0
2020-12-10,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-10,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-10,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,25.0
2020-12-10,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-10,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,6.0
2020-12-10,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-11,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-11,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-11,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,14.0
2020-12-11,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-11,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-11,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,6.0
2020-12-11,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,13.0
2020-12-11,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-11,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,34.0
2020-12-12,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-12,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-12,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,12.0
2020-12-12,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-12,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-12,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-12,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-12,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-12,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-13,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,16.0
2020-12-13,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-13,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-13,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-13,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,13.0
2020-12-13,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-13,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-13,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-13,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-14,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,6.0
2020-12-14,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-14,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,12.0
2020-12-14,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-14,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,66.0
2020-12-14,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,5.0
2020-12-14,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,18.0
2020-12-14,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,16.0
2020-12-14,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-15,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,18.0
2020-12-15,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-15,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-15,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-15,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,12.0
2020-12-15,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-15,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-15,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,21.0
2020-12-15,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,35.0
2020-12-16,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,10.0
2020-12-16,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,10.0
2020-12-16,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,44.0
2020-12-16,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,13.0
2020-12-16,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,15.0
2020-12-16,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,14.0
2020-12-16,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-16,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,27.0
2020-12-16,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,5.0
2020-12-17,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-17,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,35.0
2020-12-17,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,13.0
2020-12-17,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,5.0
2020-12-17,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,5.0
2020-12-17,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-17,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,56.0
2020-12-17,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,16.0
2020-12-17,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,27.0
2020-12-18,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,20.0
2020-12-18,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,30.0
2020-12-18,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,29.0
2020-12-18,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-18,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,22.0
2020-12-18,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,18.0
2020-12-18,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,7.0
2020-12-18,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-18,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-19,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-19,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-19,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-19,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-19,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-19,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-19,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-19,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-19,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,5.0
2020-12-20,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-20,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-20,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-20,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-20,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-20,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-20,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-20,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-20,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-21,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,6.0
2020-12-21,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-21,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-21,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-21,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,5.0
2020-12-21,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-21,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,15.0
2020-12-21,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,27.0
2020-12-21,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-22,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,23.0
2020-12-22,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-22,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-22,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-22,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-22,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,11.0
2020-12-22,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,3.0
2020-12-22,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,8.0
2020-12-22,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-23,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,4.0
2020-12-23,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-23,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-23,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-23,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,9.0
2020-12-23,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-23,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-23,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-23,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,6.0
2020-12-24,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-24,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,2.0
2020-12-24,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-24,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-24,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-24,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-24,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-24,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-24,region,E12000004,East Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-25,region,E12000001,North East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-25,region,E12000009,South West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-25,region,E12000008,South East,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-25,region,E12000002,North West,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-25,region,E12000005,West Midlands,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
2020-12-25,region,E12000007,London,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,1.0
2020-12-25,region,E12000006,East of England,newPeopleVaccinatedSecondDoseByVaccinationDate,New people vaccinated with a second dose by vaccination date,0.0
