date,area_type,area_code,area_name,metric,metric_name,value
2023-01-01,region,E12000004,East Midlands,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,1.0
2023-01-01,region,E12000006,East of England,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,0.0
2023-01-01,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,0.0
2023-01-01,region,E12000005,West Midlands,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,1.0
2023-01-01,region,E12000002,North West,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,4.0
2023-01-01,region,E12000008,South East,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,6.0
2023-01-01,region,E12000001,North East,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,2.0
2023-01-01,region,E12000007,London,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,0.0
2023-01-01,region,E12000009,South West,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,3.0
2023-01-02,region,E12000004,East Midlands,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,6.0
2023-01-02,region,E12000009,South West,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,10.0
2023-01-02,region,E12000008,South East,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,12.0
2023-01-02,region,E12000001,North East,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,2.0
2023-01-02,region,E12000006,East of England,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,3.0
2023-01-02,region,E12000002,North West,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,3.0
2023-01-02,region,E12000007,London,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,11.0
2023-01-02,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,0.0
2023-01-02,region,E12000005,West Midlands,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,3.0
2023-01-03,region,E12000007,London,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,225.0
2023-01-03,region,E12000005,West Midlands,newPeopleVaccinatedThirdInjectionByVaccinationDate,New people vaccinated with a booster or third dose by vaccination date,84.0
