start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Traditional media,1345,653,692,0,389,354,289,314
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Weighted base,2220,1082,1138,0,609,627,449,535
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Commercial Radio,62,33,29,0,13,16,13,20
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Twitter,67,27,40,0,20,24,9,14
2020-03-27,2020-03-29,altered_behaviour_over_last_week,People in your local area/neighbourhood,67,30,37,0,18,16,18,15
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Search engine (e.g. Google),76,28,48,0,20,21,17,19
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Websites or apps that bring together news from different news providers,76,26,50,0,27,17,17,16
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Email,77,42,35,0,18,18,18,24
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Official scientists,94,53,41,0,37,26,19,13
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Channel 4,100,42,57,0,33,20,22,25
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Direct from Local council website/ email/ text/ post,105,49,56,0,23,29,25,28
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Newspapers (printed),109,63,46,0,28,29,25,26
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Direct from Local health service website/ email/ text/ post,111,37,74,0,31,30,20,30
2020-03-27,2020-03-29,altered_behaviour_over_last_week,WhatsApp group(s),45,14,31,0,12,16,11,5
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Weighted base,2220,1082,1138,0,609,627,449,535
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Facebook,160,64,96,0,26,44,43,47
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Newspapers (online),188,88,100,0,66,46,37,38
2020-03-27,2020-03-29,altered_behaviour_over_last_week,BBC - Radio,205,128,77,0,78,52,39,36
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Sky,225,127,98,0,59,48,52,66
2020-03-27,2020-03-29,altered_behaviour_over_last_week,ITV,277,114,163,0,52,62,76,87
2020-03-27,2020-03-29,altered_behaviour_over_last_week,BBC - Online/ app,311,173,138,0,107,86,66,53
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Family and friends directly,337,142,196,0,91,102,72,73
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Direct from NHS website/ email/ text/ post,404,146,257,0,119,130,71,84
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Direct from Government website/ email/ text/ post,556,237,319,0,170,161,111,114
2020-03-27,2020-03-29,altered_behaviour_over_last_week,BBC - TV,950,467,483,0,282,273,204,190
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Weighted base,2220,1082,1138,0,609,627,449,535
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Unweighted base,2223,1081,1142,0,802,619,309,493
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Direct from World Health Organisation (WHO) website/ email/ text/ post,124,29,95,0,39,37,27,21
2020-03-27,2020-03-29,altered_behaviour_over_last_week,WhatsApp,42,15,27,0,20,9,7,6
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Family/friends/ local ppl,350,148,202,0,97,104,74,76
2020-03-27,2020-03-29,altered_behaviour_over_last_week,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",30,14,17,0,14,7,2,7
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Other online news sources,102,40,62,0,39,22,18,23
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Closed groups,69,23,46,0,20,24,16,9
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: WhatsApp (WhatsApp and WhatsApp groups),76,25,51,0,30,23,14,9
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Facebook (Facebook and Facebook Messenger),173,67,106,0,30,47,47,50
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Social Media,232,94,138,0,49,65,57,62
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Weighted base,2220,1082,1138,0,609,627,449,535
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Officials,802,334,467,0,243,238,155,166
2020-03-27,2020-03-29,altered_behaviour_over_last_week,YouTube,36,13,22,0,13,8,4,10
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: BBC services,1121,558,563,0,343,310,234,233
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Non-BBC broadcasters,513,244,270,0,120,121,122,151
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Broadcasters,1268,617,651,0,367,340,272,289
2020-03-27,2020-03-29,altered_behaviour_over_last_week,None of them have made me alter my behaviour,473,258,215,0,120,146,83,124
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Other,43,29,14,0,12,17,9,6
2020-03-27,2020-03-29,altered_behaviour_over_last_week,NET: Newspapers (printed and online),270,138,132,0,88,68,56,58
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Snapchat,7,0,7,0,2,1,0,4
2020-03-27,2020-03-29,altered_behaviour_over_last_week,"Smart speaker (e.g. Amazon Echo, Google Home)",5,3,2,0,2,0,3,0
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Channel 5,30,11,19,0,6,6,9,9
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Advertising,28,17,11,0,7,4,10,7
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Facebook messenger,25,6,19,0,8,6,8,3
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Instagram,22,6,15,0,7,7,3,5
2020-03-27,2020-03-29,altered_behaviour_over_last_week,STV,25,13,12,0,4,2,6,13
2020-03-27,2020-03-29,altered_behaviour_over_last_week,ITV Wales,13,8,6,0,2,6,1,4
