start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Unweighted base,2127,1021,1106,267,606,513,453,555,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Weighted base,2127,1040,1087,294,578,600,432,517,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2116,1032,1084,292,574,599,430,514,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Smartphone,1693,844,848,267,486,479,347,380,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Laptop,1386,691,695,222,422,395,268,302,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1015,483,532,102,289,275,213,238,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,TV set,923,467,457,129,256,256,214,197,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Desktop PC,701,430,272,86,211,202,135,153,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Games console,403,246,157,111,115,108,83,97,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",400,217,183,51,135,102,92,72,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),195,72,123,24,55,56,36,48,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",143,85,58,28,53,27,37,27,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Weighted base,2127,1040,1087,294,578,600,432,517,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),62,36,26,17,21,18,15,9,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Netbook,42,25,17,6,24,5,11,2,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Other device,14,10,5,-,2,4,2,7,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,-,-,-,-,-,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,device_usage_to_connect_to_internet,Don't know,10,7,3,2,4,1,2,3,,,,,,,,,,,,,
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Unweighted base,2098,1007,1091,261,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Weighted base,2098,1026,1072,289,570,592,426,510,175,83,232,171,183,151,100,197,277,287,179,63,1760
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2092,1022,1071,288,570,592,423,508,175,83,231,169,182,151,98,197,277,287,179,62,1757
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Smartphone,1754,876,878,266,497,498,343,415,145,70,201,138,153,130,85,153,247,227,150,55,1468
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Laptop,1403,704,699,237,431,425,265,282,120,55,148,109,124,95,72,128,203,188,127,34,1177
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1103,530,573,147,315,315,217,256,99,44,126,80,94,84,52,98,156,144,89,37,914
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,TV set,919,475,444,124,277,249,185,208,83,41,113,76,67,55,51,92,115,124,76,27,758
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Desktop PC,744,457,287,108,215,190,156,184,58,30,76,66,66,57,31,70,99,113,56,22,633
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",501,283,218,88,153,120,115,112,43,27,61,38,38,35,24,53,61,56,40,24,409
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Games console,399,259,139,118,134,114,68,83,39,19,37,36,40,21,21,43,56,51,32,5,334
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),232,114,117,25,84,64,51,33,16,13,26,23,23,15,13,14,37,25,17,9,193
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Weighted base,2098,1026,1072,289,570,592,426,510,175,83,232,171,183,151,100,197,277,287,179,63,1760
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",189,107,82,48,71,55,37,26,11,12,20,9,12,17,9,14,37,27,18,4,166
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),61,34,28,20,27,19,4,13,4,3,5,6,4,2,4,7,13,7,5,2,52
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Netbook,41,34,7,9,16,7,8,10,3,-,7,2,3,3,6,-,9,3,4,1,31
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Other device,14,9,5,2,6,1,2,5,1,-,2,1,2,-,-,2,1,3,1,1,12
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",2,2,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-
2020-09-11,2020-09-13,device_usage_to_connect_to_internet,Don't know,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Unweighted base,2136,1106,1030,299,629,639,307,561,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Weighted base,2136,1045,1091,295,581,602,434,519,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2128,1040,1088,292,578,601,432,516,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Smartphone,1711,826,885,275,468,493,354,397,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Laptop,1375,665,711,234,400,406,265,305,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),967,459,508,134,279,276,187,226,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,TV set,781,366,415,142,230,216,166,169,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Desktop PC,721,442,280,70,207,203,157,154,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",383,201,182,69,118,104,86,75,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Games console,355,208,147,86,97,91,85,82,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),178,68,110,27,59,45,34,40,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",123,64,59,40,40,34,26,23,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Weighted base,2136,1045,1091,295,581,602,434,519,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),45,20,25,12,16,8,10,12,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Netbook,43,26,17,8,10,13,10,10,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Other device,19,13,6,-,6,5,3,4,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,-,-,-,-,-,-,,,,,,,,,,,,,
2020-04-17,2020-04-19,device_usage_to_connect_to_internet,Don't know,3,2,1,2,2,1,-,-,,,,,,,,,,,,,
2020-05-15,2020-05-17,device_usage_to_connect_to_internet,Unweighted base,2105,1038,1067,258,608,570,407,520,,,,,,,,,,,,,
2020-05-15,2020-05-17,device_usage_to_connect_to_internet,Weighted base,2105,1029,1076,290,573,594,427,512,,,,,,,,,,,,,
2020-05-15,2020-05-17,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2101,1028,1074,290,572,592,427,510,,,,,,,,,,,,,
2020-05-15,2020-05-17,device_usage_to_connect_to_internet,Smartphone,1753,855,899,279,476,494,376,407,,,,,,,,,,,,,
2020-05-15,2020-05-17,device_usage_to_connect_to_internet,Laptop,1425,714,712,231,436,395,284,310,,,,,,,,,,,,,
2020-05-15,2020-05-17,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1055,528,527,111,310,294,222,228,,,,,,,,,,,,,
