start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,Unweighted base,2232,1087.0,1145.0,0,802,620,311,499.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,NET: At least once a day,2200,1074.0,1125.0,0,606,623,445,525.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,20 times or more a day,527,256.0,271.0,0,144,141,112,131.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,10-19 times a day,480,239.0,241.0,0,151,135,71,124.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,5-9 times a day,630,313.0,316.0,0,181,175,134,140.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,2-4 times a day,487,233.0,254.0,0,116,155,107,109.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,About once a day,76,33.0,43.0,0,15,17,21,22.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,A few times a week,18,9.0,10.0,0,2,2,6,8.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,Less than a few times a week,6,2.0,4.0,0,1,2,1,2.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,Never - not following the coronavirus outbreak,8,4.0,4.0,0,0,0,1,7.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-03-27,2020-03-29,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,Weighted base,2232,1089.0,1143.0,0,609,627,453,542.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-04-03,2020-04-05,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,Unweighted base,2125,1067.0,1058.0,274,516,606,460,543.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-04-03,2020-04-05,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,Less than a few times a week,6,3.0,3.0,0,0,1,3,3.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-04-03,2020-04-05,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,A few times a week,28,6.0,22.0,4,3,4,8,14.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-04-03,2020-04-05,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,About once a day,184,81.0,103.0,33,34,55,31,64.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
2020-04-03,2020-04-05,frequency_of_getting_info/news_about_coronavirus_outbreak_in_last_week,2-4 times a day,598,283.0,314.0,71,153,170,133,142.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
