start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2021-04-05,2021-04-11,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Unweighted base,316,131,185,50,49,66,56,36,49,59,80,99,58,79,26,14,35,31,24,20,14,20,50,38,30,14,262
2021-04-05,2021-04-11,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Weighted base,331,135,195,57,55,67,64,42,47,55,78,111,62,79,23,17,39,40,27,22,10,19,45,45,35,11,286
2021-04-05,2021-04-11,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Reported / described as a true claim,96,40,56,17,17,25,17,14,11,12,26,19,25,25,4,7,8,14,7,3,2,7,12,22,6,3,86
2021-04-05,2021-04-11,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Reported / described as a false claim,106,50,57,19,19,19,17,10,15,27,26,31,20,29,6,6,15,10,13,9,4,5,14,12,8,5,92
2021-04-05,2021-04-11,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Unclear whether true or false,161,60,101,29,28,28,36,24,23,20,34,65,28,34,15,9,20,19,12,12,5,7,21,16,22,3,137
2021-03-12,2021-03-14,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Unweighted base,374,144,230,59,55,89,55,54,51,66,106,98,86,84,28,13,38,27,41,24,10,45,51,52,33,12,324
2021-03-12,2021-03-14,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Weighted base,379,147,232,69,63,96,50,57,45,62,106,104,87,82,28,16,43,26,38,21,12,47,48,54,37,9,330
2021-03-12,2021-03-14,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Reported / described as a true claim,105,35,70,24,21,28,19,18,7,8,25,32,32,16,9,2,6,7,12,6,6,9,14,16,13,2,88
2021-03-12,2021-03-14,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Reported / described as a false claim,165,76,89,33,31,39,18,15,24,36,54,48,26,38,11,9,19,11,14,10,4,23,24,24,14,3,147
2021-03-12,2021-03-14,how_claims_that_the_coronavirus_vaccine_may_reduce_fertility_have_been_reported,Unclear whether true or false,165,57,108,25,24,50,21,27,18,24,36,40,43,46,12,7,23,13,14,10,4,15,23,24,16,4,145
