start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Unweighted base,2105,1010,1095,265,600,510,448,547,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Weighted base,2106,1029,1077,292,573,596,427,510,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,BBC - TV,728,356,372,71,192,208,174,154,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,BBC - Online/ app,227,110,116,46,80,76,35,36,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Direct from Government website/ email/ text/ post,150,60,91,29,39,44,34,32,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Sky,125,72,53,15,33,29,30,32,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Newspapers (online),102,61,41,14,41,21,13,26,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,ITV,100,29,70,6,13,22,23,43,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Direct from NHS website/ email/ text/ post,86,38,48,16,28,26,8,25,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,BBC - Radio,65,29,36,2,17,26,9,13,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Websites or apps that bring together news from different news providers,65,32,33,8,16,17,11,21,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Search engine (e.g. Google),53,31,22,9,16,12,10,15,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Weighted base,2106,1029,1077,292,573,596,427,510,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Facebook,43,16,26,8,7,8,9,19,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Twitter,41,25,16,12,9,15,8,9,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Newspapers (printed),33,23,10,3,6,12,6,8,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Direct from World Health Organisation (WHO) website/ email/ text/ post,31,15,16,8,7,10,3,11,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Official scientists,25,16,9,4,7,5,6,7,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Channel 4,24,11,13,3,10,5,4,4,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,YouTube,23,17,6,6,6,7,4,6,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Commercial Radio,23,9,13,1,6,2,4,10,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Family and friends directly,19,8,12,9,5,3,3,8,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",19,11,8,1,10,8,1,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,STV,16,8,7,-,4,2,1,9,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,UTV,13,5,8,-,-,8,4,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Weighted base,2106,1029,1077,292,573,596,427,510,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Channel 5,8,4,5,3,3,2,2,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,"Smart speaker (e.g. Amazon Echo, Google Home)",8,5,3,3,3,2,2,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Snapchat,7,2,5,5,3,1,1,2,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Direct from Local council website/ email/ text/ post,7,4,3,-,-,2,4,2,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",7,3,4,1,1,2,3,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Direct from Local health service website/ email/ text/ post,6,-,6,1,-,1,1,4,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Email,5,1,5,2,2,3,-,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Instagram,4,1,3,1,2,1,1,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,WhatsApp,3,1,2,1,1,1,1,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,ITV Wales,3,2,1,-,-,-,1,2,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Podcasts,2,2,-,1,-,2,-,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Advertising,2,1,1,1,-,-,1,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Weighted base,2106,1029,1077,292,573,596,427,510,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,WhatsApp group(s),1,1,-,1,-,-,1,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Facebook messenger,1,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Apple iMessage,,,-,-,-,-,-,,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,People in your local area/neighbourhood,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Other,24,16,7,1,4,12,2,5,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,I don't know where the source is from,7,2,4,-,1,1,3,2,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Broadcasters,1308,626,682,145,352,377,284,295,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Non-BBC broadcasters,288,131,157,26,64,67,65,92,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: BBC services,1020,495,525,119,289,310,218,203,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Newspapers (printed and online),134,84,50,16,47,33,19,34,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Officials,306,133,173,58,82,88,56,80,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Social Media,98,46,52,27,22,26,20,30,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,Weighted base,2106,1029,1077,292,573,596,427,510,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Facebook (Facebook and Facebook Messenger),44,16,28,8,7,8,10,19,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: WhatsApp (WhatsApp and WhatsApp groups),5,3,2,2,1,1,3,-,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Closed groups,3,2,1,1,-,-,3,,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Other online news sources,91,47,44,10,28,27,15,22,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Family/friends/ local ppl,19,8,12,9,5,3,3,8,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_source_used_in_last_week,NET: Traditional media,1465,719,746,163,406,412,307,340,,,,,,,,,,,,,
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Unweighted base,2058,992,1066,257,570,574,450,464,186,87,209,169,177,162,112,186,262,266,179,63,1697
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Weighted base,2056,1010,1045,286,561,581,416,497,171,83,228,167,179,148,98,193,269,280,177,62,1725
2020-09-11,2020-09-13,most_important_source_used_in_last_week,BBC - TV,540,263,277,44,133,164,115,128,35,18,63,41,58,49,17,49,73,67,53,17,470
2020-09-11,2020-09-13,most_important_source_used_in_last_week,BBC - Online/ app,228,116,112,43,77,67,46,38,22,8,20,16,18,13,12,34,26,29,25,8,187
2020-09-11,2020-09-13,most_important_source_used_in_last_week,ITV,140,53,87,12,24,30,34,52,3,10,15,17,13,5,2,18,15,31,7,3,131
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Family and friends directly,96,38,58,18,26,27,14,29,11,2,6,11,12,7,7,4,14,15,7,1,78
2020-09-11,2020-09-13,most_important_source_used_in_last_week,BBC - Radio,90,48,42,5,30,26,15,19,5,3,12,4,6,11,4,11,10,13,11,1,80
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Sky,86,48,39,10,21,13,26,27,6,-,12,5,11,8,2,7,12,19,3,-,78
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Direct from UK Government website/ email/ text/ post,76,34,42,11,21,25,14,16,2,3,10,8,9,6,2,5,8,20,3,-,71
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Websites or apps that bring together news from different news providers,72,45,27,15,24,20,11,17,3,9,8,8,5,3,3,4,16,6,6,1,64
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Facebook,71,31,40,10,14,23,18,16,8,3,7,12,4,6,3,7,5,7,6,2,58
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Weighted base,2056,1010,1045,286,561,581,416,497,171,83,228,167,179,148,98,193,269,280,177,62,1725
2020-09-11,2020-09-13,most_important_source_used_in_last_week,“Broadsheets” such as The Times or Guardian ( online ),62,34,28,6,20,25,6,11,4,2,5,7,3,6,3,7,10,7,7,2,53
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Search engine (e.g. Google),57,24,33,16,14,13,9,22,5,2,10,3,5,2,1,5,11,9,4,1,50
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Direct from NHS website/ email/ text/ post,51,22,29,9,10,21,5,14,5,2,10,2,6,3,2,2,8,5,5,1,43
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Twitter,47,34,14,12,20,13,6,8,1,3,9,4,2,4,2,5,9,4,5,-,45
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Official scientists,33,19,13,6,11,12,6,3,4,2,5,2,-,,-,,11,6,1,1,28
2020-09-11,2020-09-13,most_important_source_used_in_last_week,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",30,9,20,10,10,10,5,5,1,1,1,3,1,-,3,4,5,4,6,-,25
2020-09-11,2020-09-13,most_important_source_used_in_last_week,YouTube,25,16,9,6,6,5,4,10,2,-,2,,2,1,2,2,7,5,1,1,20
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Commercial Radio,24,13,11,1,6,3,11,5,2,2,1,2,2,2,1,3,4,3,2,1,21
2020-09-11,2020-09-13,most_important_source_used_in_last_week,“Broadsheets” such as The Times or Guardian,22,13,9,1,13,5,3,-,-,1,3,2,1,1,1,2,-,7,4,-,21
2020-09-11,2020-09-13,most_important_source_used_in_last_week,“Mid-market tabloids” such as MailOnline or Express ( online ),19,9,11,-,5,6,5,3,1,1,2,1,-,3,-,2,2,2,3,1,17
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Weighted base,2056,1010,1045,286,561,581,416,497,171,83,228,167,179,148,98,193,269,280,177,62,1725
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Direct from Local council website/ email/ text/ post,19,11,8,2,6,5,4,4,-,2,4,2,3,1,1,2,4,-,2,-,18
2020-09-11,2020-09-13,most_important_source_used_in_last_week,Direct from Scotland Government website/ email/ text/ post,19,7,12,2,3,5,5,6,19,-,-,-,-,-,-,-,-,-,-,-,-
2020-09-11,2020-09-13,most_important_source_used_in_last_week,STV,17,11,6,2,4,2,4,7,17,-,-,-,-,-,-,-,-,-,-,-,-
2020-09-11,2020-09-13,most_important_source_used_in_last_week,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),17,9,8,2,4,5,5,3,1,3,-,2,1,-,4,1,-,2,3,-,12
