start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,Unweighted base,983,459.0,524,175,294,240,196,253,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,Weighted base,988,472.0,516,195,281,278,189,240,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,"Directly from official sources such as NHS, Government etc",490,231.0,260,99,144,124,83,139,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",283,134.0,149,56,89,89,55,50,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,Facts forwarded/ posted/ shared from a person you know,64,30.0,34,14,15,21,15,13,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,Opinions from a person you know,39,18.0,22,11,11,11,12,5,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",19,7.0,12,4,4,9,3,3,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",19,14.0,5,4,4,3,4,7,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,Facts forwarded/ posted/ shared from a person you don't know,9,5.0,5,1,1,4,3,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,Opinions from a person you don't know,4,2.0,2,-,1,2,-,1,,,,,,,,,,,,,
2020-04-09,2020-04-13,most_important_type_of_news/information_from_social_media_or_search_engines,None of these,60,33.0,27,5,12,15,13,19,,,,,,,,,,,,,
2020-09-11,2020-09-13,most_important_type_of_news/information_from_social_media_or_search_engines,Unweighted base,914,427.0,487,143,273,259,177,205,85,42,99,76,86,74,54,62,119,108,76,33,742.0
2020-09-11,2020-09-13,most_important_type_of_news/information_from_social_media_or_search_engines,Weighted base,918,428.0,490,161,267,263,168,220,79,40,112,79,88,70,51,63,118,110,74,34,754.0
2020-09-11,2020-09-13,most_important_type_of_news/information_from_social_media_or_search_engines,"Directly from official sources such as NHS, Government etc",437,191.0,247,85,129,130,73,105,47,22,53,42,39,31,23,23,63,53,28,15,352.0
