start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Unweighted base,235,109,126,23,20,37,41,34,42,58,82,62,28,63,25,16,24,16,11,22,13,19,30,31,21,7,190
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Weighted base,241,114,127,26,22,38,41,37,41,58,77,62,38,63,22,17,27,15,12,19,14,21,32,36,18,7,197
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Facebook,93,38,54,7,7,21,10,23,14,18,30,21,14,27,5,13,14,9,3,7,1,5,13,12,10,2,85
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Family and friends directly,34,16,18,2,2,11,6,3,3,8,8,13,4,10,2,1,3,3,1,1,5,4,6,4,1,2,25
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Twitter,32,21,11,9,9,3,7,6,2,4,12,10,3,6,2,1,3,,1,3,3,2,5,6,3,1,25
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,BBC - TV,28,19,9,4,4,4,1,2,6,11,10,2,8,8,5,2,2,3,3,1,2,4,2,2,2,1,20
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Search engine (e.g. Google),20,13,7,1,-,6,1,2,6,4,3,5,4,7,1,-,1,3,-,3,2,1,1,3,3,2,15
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,Unspecified social media,18,10,8,2,2,2,3,4,5,3,6,4,4,4,1,1,1,1,-,4,2,2,2,2,2,-,15
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,YouTube,14,7,7,3,3,-,4,1,5,1,5,6,1,1,1,1,1,1,1,-,-,1,4,2,1,-,13
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,People in your local area/neighbourhood,14,7,6,3,3,1,5,1,-,4,3,3,2,5,3,-,-,3,,-,-,-,-,3,2,2,8
2020-10-09,2020-10-11,source_of_claims_about_about_face_masks/coverings_offering_no_protection_or_being_harmful__as_true,ITV,12,7,5,-,-,2,1,,3,6,3,1,5,2,-,1,1,3,1,-,2,4,-,-,,-,10
