start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Unweighted base,91,45,46,9,7,12,17,10,11,32,23,22,22,24
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,People in your local area/neighbourhood,1,1,0,0,0,0,0,0,1,1,1,0,0,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,WhatsApp,1,1,0,0,0,,1,0,0,0,1,0,0,
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),1,1,1,0,0,0,0,0,1,1,1,1,0,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Advertising,1,1,1,1,1,0,0,0,0,1,0,0,1,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,BBC Alba,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,UTV,1,0,1,0,0,0,0,0,0,1,0,0,0,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",1,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,STV,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Apple iMessage,1,1,0,0,0,1,0,0,0,0,1,0,0,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Other,17,7,10,2,0,0,5,4,1,5,5,3,1,8
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Weighted base,88,44,44,10,7,10,17,12,11,28,24,21,17,25
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",2,1,1,1,1,1,0,0,0,0,0,0,1,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Broadcasters,31,15,16,3,3,2,6,5,7,8,6,8,8,10
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: BBC services,28,15,13,2,2,2,5,5,6,7,6,7,7,8
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Newspapers (printed and online),15,6,9,0,0,1,3,4,4,3,4,8,2,2
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Social Media,31,17,14,5,3,9,5,3,2,7,7,8,9,7
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Facebook (Facebook and Facebook Messenger),21,13,8,2,1,8,3,3,2,5,5,4,6,6
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),4,3,1,0,0,,3,1,0,0,1,2,1,
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Closed groups,3,2,1,0,0,,2,1,0,0,0,2,1,
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Other online news sources,9,7,2,1,1,1,1,0,5,2,2,2,4,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Family/friends/ local ppl,3,2,1,1,0,0,1,0,1,1,2,0,0,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Traditional media,39,18,21,5,5,3,7,6,9,10,9,12,8,10
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Can't remember,2,0,2,0,0,0,0,0,0,2,2,0,0,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,I don't know where the source is from,1,1,,,,0,0,0,0,1,0,1,0,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,NET: Non-BBC broadcasters,16,5,11,1,1,2,1,4,3,6,3,4,4,4
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Weighted base,88,44,44,10,7,10,17,12,11,28,24,21,17,25
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Celebrity and/or social media influencer,1,0,1,1,1,0,0,0,0,0,0,0,0,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Podcasts,2,2,0,0,0,0,2,0,0,0,0,2,0,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Weighted base,88,44,44,10,7,10,17,12,11,28,24,21,17,25
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,BBC - TV,22,10,12,0,0,1,3,5,6,7,3,6,6,7
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Channel 5,2,1,1,0,0,1,0,1,0,0,1,0,0,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,ITV,11,4,7,0,0,1,0,4,3,3,3,4,3,2
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),10,4,6,0,0,0,1,3,2,3,1,5,2,2
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Twitter,8,4,4,1,1,,4,0,1,3,1,4,2,2
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Websites or apps that bring together news from different news providers,8,6,2,,,0,1,0,5,2,2,2,3,0
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,BBC - Online/ app,6,5,1,2,2,1,1,0,2,0,2,0,3,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,YouTube,5,4,1,1,1,1,3,0,0,1,2,2,1,1
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Instagram,4,2,2,2,2,2,0,0,0,0,0,2,0,3
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,Channel 4,4,1,2,1,1,2,1,1,0,0,1,0,1,2
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,WhatsApp group(s),3,2,1,0,0,,2,1,0,0,0,2,1,
2020-05-29,2020-05-31,source_of_claims_about_about_injecting_disinfectant_as_true,BBC - Radio,3,3,0,0,0,0,2,0,1,0,0,2,1,0
