start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Unweighted base,265,126,139,29,28,48,47,48,44,49,72,76,65,52,35,12,36,22,21,16,19,19,30,27,20,8,203
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,254,124,130,30,29,49,46,41,41,47,62,74,66,52,30,10,37,20,22,15,15,20,32,27,19,8,202
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Facebook,109,38,71,9,9,25,28,20,13,14,25,29,29,25,16,4,16,4,11,8,5,11,12,12,7,4,85
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Family and friends directly,35,15,20,3,3,8,8,2,6,8,5,8,10,12,3,-,9,7,1,2,3,2,1,1,5,1,28
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Twitter,31,17,14,7,7,7,5,6,4,2,13,10,5,4,4,4,3,5,3,1,-,1,4,5,2,-,27
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Websites or apps that bring together news from different news providers,25,16,9,-,-,8,6,2,4,4,3,8,9,4,-,2,4,2,4,-,1,2,4,-,5,-,24
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,BBC - TV,21,15,6,2,2,4,3,1,4,8,4,8,6,3,1,-,4,4,-,-,3,-,3,2,4,-,17
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Search engine (e.g. Google),18,8,10,4,4,4,1,,4,4,3,4,10,1,2,1,-,3,5,-,1,-,3,2,-,2,13
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",18,10,8,1,1,7,2,2,3,2,9,3,1,5,3,-,2,1,1,-,2,2,5,2,1,1,13
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,YouTube,16,11,5,4,4,1,4,2,4,-,4,2,8,2,1,-,2,-,3,2,1,1,3,3,-,-,14
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Unspecified social media,13,4,9,2,2,3,2,2,2,1,5,4,2,2,2,2,3,-,-,1,2,1,1,1,2,-,10
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,BBC - Radio,9,6,4,1,1,3,1,1,3,1,3,2,4,1,1,-,2,-,-,-,1,-,3,1,3,-,8
