start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Unweighted base,199,91,108,28,26,32,26,29,36,48,62,68,26,43,17,12,15,10,20,15,15,11,23,38,15,8,159
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Weighted base,200,98,102,30,28,34,29,29,31,47,64,62,32,42,15,9,14,12,21,15,14,11,22,42,16,9,162
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Facebook,78,36,43,11,11,20,11,11,14,12,18,25,17,18,5,4,7,8,1,8,6,6,5,18,8,3,64
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Twitter,20,13,7,3,3,3,3,2,5,3,5,11,1,2,3,1,3,1,4,1,-,-,2,3,2,1,16
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Websites or apps that bring together news from different news providers,15,10,5,2,1,1,2,2,2,6,4,5,4,2,-,1,2,-,2,1,2,1,1,5,-,-,13
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Unspecified social media,14,9,5,-,-,3,2,1,3,5,5,7,-,2,2,-,-,2,1,1,1,5,1,1,-,1,10
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Family and friends directly,13,5,8,4,4,2,5,2,1,-,5,2,-,6,1,-,-,,1,2,-,-,3,4,,1,11
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Search engine (e.g. Google),12,9,3,1,-,-,2,2,-,7,3,4,4,2,-,2,1,-,1,1,1,-,2,2,2,-,11
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,YouTube,12,10,2,2,2,1,3,2,2,2,1,3,3,5,-,2,1,1,2,-,-,-,1,3,2,-,12
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Instagram,10,3,7,4,4,2,3,1,-,-,6,3,1,1,-,-,1,-,-,1,3,1,2,2,1,-,8
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),10,3,7,-,-,1,1,1,1,5,3,3,-,4,-,-,1,,1,1,1,-,2,3,-,1,8
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,BBC - TV,9,2,7,1,1,2,-,3,2,1,4,2,-,3,2,1,-,-,1,1,-,1,-,3,1,-,7
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Weighted base,200,98,102,30,28,34,29,29,31,47,64,62,32,42,15,9,14,12,21,15,14,11,22,42,16,9,162
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,BBC - Online/ app,8,3,5,-,-,-,3,2,1,2,5,-,1,2,-,-,-,1,-,1,3,-,1,2,-,-,5
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,WhatsApp group(s),7,7,-,4,4,2,2,-,-,-,5,2,-,-,-,-,-,1,-,-,-,-,6,-,-,-,7
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,WhatsApp,7,7,-,1,1,1,-,-,1,3,1,1,3,2,-,2,-,-,2,1,-,-,1,-,1,-,7
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),6,,5,2,2,-,,-,1,2,,-,2,3,2,-,-,,2,-,-,1,-,1,-,-,4
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),6,2,3,1,-,,,1,-,3,2,2,,1,-,-,,2,-,-,-,-,1,2,-,1,4
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,"Local sources across TV, radio and online",5,4,1,2,2,1,,-,1,1,3,2,-,-,-,-,-,,-,-,1,-,2,-,-,2,2
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,People in your local area/neighbourhood,5,2,2,-,-,-,1,3,1,-,1,1,2,-,-,-,-,,-,-,-,-,1,2,2,-,5
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Facebook messenger,4,4,-,2,2,-,2,-,-,1,2,2,1,-,-,-,-,-,-,-,-,-,3,-,-,1,3
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Email,4,4,-,3,3,-,-,-,-,1,2,3,-,-,-,-,-,-,1,-,-,-,3,1,-,-,4
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Sky,4,1,3,-,-,-,3,-,-,1,4,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,1
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",4,2,2,1,-,-,1,1,1,,-,3,-,1,-,-,1,-,-,-,-,-,-,2,,-,4
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Weighted base,200,98,102,30,28,34,29,29,31,47,64,62,32,42,15,9,14,12,21,15,14,11,22,42,16,9,162
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Direct from NHS website/ email/ text/ post,4,2,2,-,-,1,2,1,-,-,1,2,-,1,-,-,1,-,2,-,-,-,-,1,-,-,4
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Direct from Local council website/ email/ text/ post,4,2,2,-,-,1,2,1,-,-,1,2,-,1,-,-,1,-,2,-,-,-,-,1,-,-,4
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Commercial Radio,3,1,2,1,1,-,-,1,-,1,2,-,-,1,-,1,-,-,-,-,-,-,2,1,-,-,3
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Channel 4,3,1,2,-,-,-,-,-,3,-,2,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",3,3,-,-,-,-,-,1,1,-,-,1,1,1,-,1,-,-,-,-,-,-,-,1,1,-,3
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,ITV Wales,3,-,3,-,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Official scientists,2,2,-,2,2,-,-,-,-,1,2,-,-,1,-,-,-,-,-,1,-,-,2,-,-,-,2
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),2,1,1,-,-,-,,-,2,-,1,1,-,-,-,-,-,,-,-,1,1,-,-,-,-,1
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),2,2,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Weighted base,200,98,102,30,28,34,29,29,31,47,64,62,32,42,15,9,14,12,21,15,14,11,22,42,16,9,162
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,2,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,“Broadsheets” such as The Times or Guardian,2,2,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,2
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,BBC - Radio,2,,1,-,-,-,-,1,,1,-,1,,1,,1,-,-,-,-,-,1,-,-,-,-,1
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Apple iMessage,2,2,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,ITV,1,,1,-,-,,-,1,,-,-,-,,1,-,1,-,-,-,-,-,-,,-,,-,1
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Channel 5,1,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,Other,14,8,5,1,1,1,1,6,2,4,4,2,3,5,-,1,,-,4,1,-,-,3,3,1,2,12
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,NET: Broadcasters,21,7,14,1,1,2,3,5,5,5,13,2,1,5,4,1,-,1,2,2,3,1,2,5,1,-,14
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,NET: Non-BBC broadcasters,8,2,6,-,-,,3,1,3,1,6,-,,2,3,1,-,-,1,-,3,-,,-,,-,3
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,NET: BBC services,17,5,12,1,1,2,3,5,3,4,10,2,1,4,2,1,-,1,1,2,3,1,1,5,1,-,12
2021-01-15,2021-01-17,source_of_claims_about_empty_hospitals_on_social_media_posts_prove_that_coronavirus_has_been_exaggerated_reported_as_true,NET: Newspapers (printed and online),24,10,14,3,2,2,1,4,5,9,6,5,3,9,2,-,1,2,3,1,2,1,2,9,-,1,19
