start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Unweighted base,142,65,77,12,11,32,34,17,17,30,49,38,26,29,15,7,16,8,13,8,8,14,22,20,8,3,116
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,150,67,83,14,13,36,35,14,19,32,46,43,30,31,16,9,18,10,15,7,8,14,19,22,9,3,123
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Facebook,62,21,41,8,8,16,15,4,8,10,13,17,12,19,8,4,8,4,6,2,5,4,9,8,4,-,50
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Family and friends directly,28,10,18,3,3,8,11,3,-,2,7,9,7,4,1,1,4,1,1,3,2,3,5,6,-,1,24
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Twitter,20,12,7,1,1,4,3,5,5,1,7,5,4,2,5,1,4,3,-,1,-,-,2,-,4,-,15
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,BBC - TV,15,8,6,3,2,3,-,1,1,7,4,5,4,2,3,-,1,-,4,-,3,1,1,1,2,-,9
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Unspecified social media,14,5,9,2,2,6,1,1,3,2,3,7,1,3,2,-,1,1,1,1,-,3,,3,-,1,11
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Websites or apps that bring together news from different news providers,14,6,8,-,-,6,3,3,-,2,6,3,2,4,-,-,-,4,4,-,-,2,1,2,-,1,13
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,YouTube,12,8,4,1,1,3,3,1,-,5,1,2,3,5,-,1,1,2,3,-,-,-,3,1,-,-,12
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Search engine (e.g. Google),10,7,3,-,-,6,2,,-,2,3,2,1,4,-,-,1,-,4,-,1,-,4,-,1,-,9
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,People in your local area/neighbourhood,9,1,8,2,2,3,2,1,-,-,1,4,3,1,1,1,3,1,-,-,-,1,1,-,-,-,8
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Instagram,6,2,4,1,1,2,2,1,-,-,-,2,2,2,1,-,1,-,1,-,-,-,2,1,-,-,5
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Email,6,3,2,-,-,-,3,1,1,1,2,1,2,1,1,-,1,2,1,-,-,-,1,-,-,-,5
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,150,67,83,14,13,36,35,14,19,32,46,43,30,31,16,9,18,10,15,7,8,14,19,22,9,3,123
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",6,1,4,-,-,4,-,-,1,1,1,2,-,3,-,1,1,-,4,-,-,-,1,-,-,-,6
