start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Unweighted base,189,91,98,29,27,38,32,32,25,33,58,52,38,41,28,11,25,10,11,14,11,16,30,15,14,4,146
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,189,92,97,31,30,39,31,31,25,31,55,52,40,42,26,9,26,11,12,14,9,17,29,16,16,3,151
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Facebook,75,32,43,9,9,19,18,13,8,7,18,20,17,20,15,4,13,1,4,4,3,6,9,10,5,1,56
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Family and friends directly,22,12,10,4,4,3,4,5,4,2,5,9,5,3,2,1,2,2,2,5,-,,2,3,2,1,19
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Twitter,21,15,7,7,7,7,1,3,2,1,7,10,2,2,2,4,2,1,2,1,-,2,5,1,2,-,20
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,BBC - TV,15,6,9,1,1,4,2,3,3,2,3,5,4,3,2,1,2,3,-,3,1,2,2,-,1,-,13
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,YouTube,14,10,4,1,1,1,3,2,3,4,4,2,3,4,-,-,-,-,5,3,-,2,2,1,-,-,14
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Search engine (e.g. Google),13,7,6,4,4,4,1,-,1,2,7,1,4,1,2,-,4,2,-,1,1,2,1,1,-,-,11
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Websites or apps that bring together news from different news providers,13,8,5,-,-,3,2,1,4,3,2,1,4,6,-,2,5,1,-,1,1,2,1,-,-,-,12
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,BBC - Online/ app,9,3,6,1,1,4,2,-,3,-,6,,3,-,1,-,2,-,-,1,,-,1,2,2,1,7
