start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Unweighted base,124,68,56,21,20,38,17,13,17,18,35,30,24,35,15,2,13,12,9,7,5,11,15,18,9,8,96
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Weighted base,123,63,59,23,21,36,18,14,14,17,35,29,26,32,15,1,12,15,9,7,3,11,15,19,10,6,99
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Facebook,54,30,24,9,9,20,11,5,5,4,19,12,14,10,9,1,3,8,6,-,1,8,8,3,7,3,42
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Family and friends directly,19,9,10,5,3,5,6,-,2,2,4,7,2,5,4,-,3,2,-,-,-,1,-,7,2,1,14
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Twitter,17,14,3,2,2,3,6,3,2,1,2,6,5,3,3,-,-,4,1,2,-,2,5,-,-,-,14
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Instagram,14,8,7,4,4,3,4,3,-,-,5,3,4,3,2,-,2,2,1,-,,1,2,3,1,-,12
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,YouTube,13,9,4,2,2,5,3,2,1,-,4,3,3,2,3,1,1,3,1,-,-,1,1,1,1,1,9
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,People in your local area/neighbourhood,13,10,3,4,2,2,1,2,1,2,5,3,-,4,,-,2,2,-,1,-,1,3,4,-,-,12
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Websites or apps that bring together news from different news providers,11,8,3,1,1,5,2,3,-,-,3,1,5,2,3,-,1,4,-,-,-,-,1,1,2,-,8
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Search engine (e.g. Google),11,9,2,4,4,2,2,2,1,-,3,3,2,2,3,1,-,-,2,-,-,1,3,-,1,1,8
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,BBC - TV,8,5,3,2,2,1,2,1,1,1,2,2,2,2,2,-,-,-,-,-,-,-,3,3,-,1,6
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,WhatsApp,7,6,1,1,1,3,2,2,-,-,2,2,2,-,2,1,1,2,1,-,-,-,-,-,1,-,5
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,WhatsApp group(s),6,4,1,1,1,2,1,2,-,-,2,1,2,1,-,-,-,2,-,1,-,-,-,1,1,-,6
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Weighted base,123,63,59,23,21,36,18,14,14,17,35,29,26,32,15,1,12,15,9,7,3,11,15,19,10,6,99
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Unspecified social media,5,1,4,1,1,1,1,1,2,-,1,1,1,3,-,-,1,1,1,-,-,-,-,2,1,-,5
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),5,2,3,-,-,2,2,-,-,-,-,2,2,1,2,-,-,-,-,1,1,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,BBC - Online/ app,4,2,2,-,-,2,2,-,-,-,-,4,-,-,2,-,-,2,-,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,"Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",4,3,1,1,1,1,1,-,-,1,2,-,1,1,-,-,-,1,-,-,-,-,1,2,-,-,4
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Facebook messenger,4,4,-,-,-,1,2,1,-,,-,2,2,,2,-,1,-,1,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),4,4,-,-,-,-,2,2,-,-,2,2,-,-,2,-,-,2,-,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Official scientists,3,3,-,,,1,-,-,1,1,1,1,-,1,-,-,-,-,-,1,1,-,,1,-,-,3
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,3,1,2,1,1,2,-,-,-,-,-,-,2,1,1,-,-,-,1,-,-,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,"Flyers, e.g. leaflets that you may be given or find when out and about",3,2,1,-,-,1,-,2,-,-,2,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,3
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Weighted base,123,63,59,23,21,36,18,14,14,17,35,29,26,32,15,1,12,15,9,7,3,11,15,19,10,6,99
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",3,1,2,-,-,1,1,-,-,1,-,1,2,-,-,-,1,-,-,-,1,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Snapchat,3,2,1,1,1,2,-,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-,1,-,1,-,3
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,"Stickers, e.g. on lamp posts or other places in your neighbourhood",3,3,-,-,-,-,-,2,1,-,2,1,-,-,-,-,-,2,-,-,-,1,-,-,-,-,3
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Channel 5,2,2,-,1,1,-,-,-,-,1,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,ITV,2,2,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Channel 4,2,2,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),2,1,1,-,-,2,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,1,-,-,1
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Direct from UK Government website/ email/ text/ post,2,1,1,-,-,1,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,“Broadsheets” such as The Times or Guardian,2,-,2,-,-,2,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),2,1,1,-,-,-,-,-,-,2,1,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Weighted base,123,63,59,23,21,36,18,14,14,17,35,29,26,32,15,1,12,15,9,7,3,11,15,19,10,6,99
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",2,1,1,-,-,1,1,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Community radio,2,2,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Celebrity and/or social media influencer,2,2,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Magazines,2,2,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Commercial Radio,2,2,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,2,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,"Local sources across TV, radio and online",2,-,2,1,1,-,-,-,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Sky,2,1,1,1,1,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,1
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Direct from Local council website/ email/ text/ post,1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Direct from Local health service website/ email/ text/ post,1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Weighted base,123,63,59,23,21,36,18,14,14,17,35,29,26,32,15,1,12,15,9,7,3,11,15,19,10,6,99
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Advertising,1,-,1,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Podcasts,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Email,,,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,BBC - Radio,,,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,Other,8,2,6,-,-,1,2,3,1,3,2,1,3,2,-,-,1,-,-,2,-,2,2,2,-,1,8
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,NET: Broadcasters,12,7,6,3,3,4,2,1,1,2,3,4,2,2,2,-,1,2,-,-,-,-,3,3,-,1,9
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,NET: Non-BBC broadcasters,5,4,1,2,2,-,-,1,1,1,2,-,1,2,-,-,1,-,-,-,-,-,2,1,-,1,4
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,NET: BBC services,11,5,6,2,2,4,2,1,1,2,2,4,2,2,2,-,-,2,-,-,-,-,3,3,-,1,8
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,NET: Newspapers (printed and online),9,6,4,-,-,3,2,2,-,2,3,3,2,2,3,-,-,3,-,1,1,-,-,2,-,-,6
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,NET: Officials,8,5,3,1,1,3,-,-,1,3,2,1,3,2,1,-,-,-,2,1,1,-,,4,-,-,7
2021-04-05,2021-04-11,source_of_claims_that_the_coronavirus_vaccine_is_a_cover_for_a_plan_to_implant_trackable_microchips_in_people_reported_as_true,NET: Social Media,70,36,34,13,13,25,12,6,9,5,21,16,17,16,10,1,4,9,8,2,1,8,10,8,8,3,57
