start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,1,2,0,0,0,1,2,0,0,0,0,2,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),4,4,0,2,2,0,1,0,0,2,2,1,2,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,ITV,6,3,3,1,1,1,2,1,0,2,3,1,0,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,BBC - Online/ app,7,7,0,2,2,2,1,0,1,0,0,3,4,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,185,108,77,25,25,40,32,35,24,29,59,45,37,43
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,BBC - TV,7,5,2,1,1,1,0,1,2,2,3,1,3,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Instagram,7,4,3,4,4,2,1,0,0,0,4,1,1,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,WhatsApp group(s),9,1,7,0,0,3,1,1,0,4,1,1,2,5
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Search engine (e.g. Google),10,4,6,1,1,2,1,3,0,3,4,2,3,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",10,6,4,3,3,2,2,0,3,2,3,1,5,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,People in your local area/neighbourhood,11,6,4,0,0,2,4,1,2,1,6,1,2,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Family and friends directly,11,7,4,0,0,4,3,2,0,2,3,3,1,3
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Websites or apps that bring together news from different news providers,13,8,4,0,0,3,2,4,3,0,2,3,7,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,YouTube,15,11,4,2,2,9,2,0,2,0,6,4,1,4
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Unspecified social media,17,10,7,1,1,4,3,3,3,2,8,2,1,6
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Twitter,39,25,14,8,8,9,6,9,4,4,6,12,6,15
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Facebook,80,42,38,13,13,18,13,21,6,8,27,18,15,21
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,185,108,77,25,25,40,32,35,24,29,59,45,37,43
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Unweighted base,181,101,80,23,23,38,34,33,26,27,55,49,37,40
