start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Direct from Local health service website/ email/ text/ post,248,92,156,0,73,69,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Advertising,149,83,66,0,35,42,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Channel 5,143,69,74,0,37,43,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Podcasts,74,52,22,0,20,28,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,"Smart speaker (e.g. Amazon Echo, Google Home)",73,40,33,0,26,22,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Weighted base,2224,1085,1139,0,609,627,452,535,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,STV,71,32,39,0,13,18,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Snapchat,55,17,39,0,14,23,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Apple iMessage,46,19,28,0,13,14,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",41,27,14,0,15,12,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,UTV,36,17,19,0,13,8,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,ITV Wales,33,15,17,0,6,12,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Other,83,52,31,0,24,32,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,I don't know where the source is from,4,3,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Broadcasters,1971,964,1007,0,559,563,388,461,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Non-BBC broadcasters,1240,608,631,0,328,336,248,327,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: BBC services,1819,919,901,0,530,529,362,398,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Weighted base,2224,1085,1139,0,609,627,452,535,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Newspapers (printed and online),959,478,482,0,301,263,177,218,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Officials,1157,524,633,0,345,347,216,249,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Social Media,1092,469,623,0,282,326,211,272,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Facebook (Facebook and Facebook Messenger),849,335,515,0,201,240,174,234,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: WhatsApp (WhatsApp and WhatsApp groups),376,174,202,0,128,120,62,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Closed groups,344,141,202,0,98,115,67,64,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Other online news sources,631,288,344,0,211,191,102,127,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Family/friends/ local ppl,934,407,527,0,263,275,182,213,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Facebook messenger,176,69,107,0,43,59,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,NET: Traditional media,2065,1004,1061,0,582,582,406,496,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Official scientists,181,102,78,0,59,61,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,WhatsApp group(s),201,81,120,0,65,71,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,BBC - TV,1550,787,764,0,445,455,315,336,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Family and friends directly,890,388,502,0,247,265,175,203,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Direct from Government website/ email/ text/ post,828,353,475,0,244,247,149,188,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Facebook,820,322,498,0,191,233,167,229,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,ITV,773,358,415,0,190,205,157,221,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,BBC - Online/ app,758,403,355,0,258,223,139,136,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Newspapers (online),743,358,385,0,245,203,136,160,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Direct from NHS website/ email/ text/ post,630,258,371,0,182,214,102,132,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,BBC - Radio,581,337,244,0,188,186,107,99,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Sky,578,328,251,0,159,155,131,132,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Weighted base,2224,1085,1139,0,609,627,452,535,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Email,528,263,265,0,151,164,86,127,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Search engine (e.g. Google),483,204,279,0,156,139,85,103,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,sources_used_to_get_info/news_about_coronavirus_outbreak_in_last_week,Channel 4,404,198,207,0,119,114,72,99,0,0,0,0,0,0,0,0,0,0,0,0,0
