start_date,end_date,question,response,the_amount_of_false_or_misleading_information_you_may_be_getting_about_coronavirus,the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.24,1.06
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,3.03,3.68
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,716.0,259.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,302.0,98.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,413.0,160.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2164.0,2164.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,488.0,803.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,299.0,515.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,787.0,1318.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2164.0,2164.0
2020-06-19,2020-06-21,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,661.0,587.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.22,1.07
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2120.0,2120.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2120.0,2120.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,828.0,1299.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,314.0,545.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,514.0,754.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,681.0,582.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,339.0,139.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,271.0,101.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,610.0,240.0
2020-08-07,2020-08-09,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,3.12,3.71
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2098.0,2098.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,3.02,3.7
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2098.0,2098.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,764.0,1277.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,293.0,571.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,471.0,706.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,635.0,558.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,375.0,144.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,325.0,119.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.26,1.11
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,700.0,263.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2189.0,2189.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,716.0,269.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,347.0,126.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,369.0,143.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,665.0,561.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,504.0,760.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,304.0,599.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,808.0,1358.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2189.0,2189.0
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,3.02,3.71
2020-10-09,2020-10-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.26,1.11
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,292.0,98.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,651.0,275.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2101.0,2101.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,359.0,176.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.24,1.1
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,3.08,3.71
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,519.0,699.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,300.0,578.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,820.0,1277.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2101.0,2101.0
2020-11-06,2020-11-08,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,630.0,549.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.23,1.09
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,2.94,3.63
