start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,Unweighted base,2098,1007.0,1091,261,230,362,326,369.0,329,451,580.0,582,460.0,476.0,190.0,87,212.0,173.0,181.0,164.0,113,190,269,272.0,182.0,65,1730.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,Weighted base,2098,1026.0,1072,289,249,350,325,361.0,302,471,570.0,592,426.0,510.0,175.0,83,232.0,171.0,183.0,151.0,100,197,277,287.0,179.0,63,1760.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,NET: Top 2 box,1277,594.0,683,189,161,217,198,179.0,190,303,352.0,377,247.0,301.0,103.0,50,128.0,87.0,103.0,95.0,64,136,181,176.0,115.0,37,1072.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,5 - Very concerned,571,260.0,311,79,72,109,90,77.0,88,127,145.0,186,99.0,140.0,50.0,21,57.0,42.0,49.0,31.0,26,65,82,79.0,48.0,20,475.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,4,706,334.0,372,109,88,108,108,102.0,103,176,207.0,191,148.0,161.0,54.0,29,71.0,45.0,54.0,64.0,38,72,99,98.0,67.0,17,598.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,3,558,274.0,284,74,63,97,88,111.0,77,111,147.0,146,129.0,137.0,55.0,26,68.0,58.0,58.0,36.0,22,35,65,75.0,43.0,17,464.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,2,144,83.0,61,16,15,28,23,35.0,15,27,38.0,37,29.0,39.0,5.0,4,23.0,14.0,13.0,11.0,10,14,16,16.0,11.0,7,122.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,1 - Not at all concerned,119,75.0,45,10,10,7,16,35.0,20,30,34.0,31,21.0,34.0,11.0,3,12.0,11.0,10.0,9.0,4,13,15,20.0,9.0,2,102.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,NET: Bottom 2 box,263,158.0,105,27,25,35,38,71.0,35,57,72.0,68,50.0,73.0,16.0,7,36.0,25.0,23.0,19.0,14,26,31,36.0,21.0,9,224.0
2020-09-11,2020-09-13,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus,Mean,3.70bh,3.61,3.79ab,3.80h,3.79h,3.81ah,3.72h,3.42,3.74h,3.73h,3.69,3.78a,3.65,3.66,3.72,3.74,3.59,3.54,3.65,3.65,3.73,3.82r,3.78r,3.7,3.74,3.73,3.69
