start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Unweighted base,2098,1007,1091.0,261,230.0,362.0,326.0,369,329,451,580,582.0,460.0,476.0,190,87,212.0,173.0,181.0,164.0,113,190.0,269.0,272,182,65,1730.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Standard deviation Standard error,1.33,1.28,1.37,1.33,1.35,1.33,1.38,1.42,1.29,1.11,1.25,1.31,1.35,1.42,1.26,1.22,1.36,1.46,1.35,1.35,1.52,1.34,1.34,1.22,1.27,1.3,1.33
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,NET: Disagree,364,152,212.0,57,55.0,75.0,73.0,72,48,40,78,96.0,84.0,106.0,22,12,42.0,38.0,35.0,30.0,22,34.0,54.0,39,27,9,311.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Strongly disagree   (-2),224,95,129.0,33,31.0,45.0,46.0,50,26,24,47,58.0,47.0,72.0,15,5,28.0,26.0,19.0,15.0,18,22.0,35.0,21,14,6,185.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Slightly disagree   (-1),140,57,83.0,25,24.0,30.0,27.0,22,22,15,31,38.0,37.0,35.0,7,7,14.0,12.0,16.0,15.0,4,12.0,19.0,18,13,3,126.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Mean,0.83ce,0.96ac,0.71,0.67e,0.59,0.49,0.58,0.74f,1.03ad,1.28ad,0.98am,0.87,0.72,0.7,0.97rw,0.97,0.78,0.65,0.75,0.76,0.8,0.89,0.67,0.94rw,0.98rw,0.94,0.81
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Slightly agree      (+1),523,262,261.0,85,76.0,97.0,97.0,75,71,99,152,153.0,104.0,114.0,42,19,57.0,31.0,38.0,33.0,21,53.0,85.0,84,44,16,444.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Strongly agree      (+2),902,483,419.0,100,78.0,97.0,106.0,158,156,285,267,258.0,167.0,210.0,82,39,98.0,72.0,76.0,63.0,49,89.0,95.0,124,87,29,742.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,NET: Agree,1425,745,681.0,185,154.0,195.0,202.0,232,227,384,420,411.0,270.0,325.0,125,58,154.0,103.0,114.0,96.0,70,142.0,180.0,208,130,45,1185.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Weighted base,2098,1026,1072.0,289,249.0,350.0,325.0,361,302,471,570,592.0,426.0,510.0,175,83,232.0,171.0,183.0,151.0,100,197.0,277.0,287,179,63,1760.0
2020-09-11,2020-09-13,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Neither agree nor    (0) disagree,308,129,179.0,47,40.0,81.0,50.0,56,28,47,73,85.0,72.0,79.0,28,14,36.0,30.0,34.0,25.0,8,21.0,43.0,40,22,8,264.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Weighted base,2189,1070,1119.0,302,261.0,365.0,339.0,376,315,491,595,617.0,444.0,532.0,183,87,242.0,178.0,191.0,157.0,104,206.0,289.0,299,187,66,1837.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,NET: Disagree,400,137,263.0,50,43.0,83.0,82.0,86,52,48,104,98.0,88.0,110.0,34,19,52.0,29.0,36.0,29.0,17,37.0,59.0,48,24,16,333.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Strongly disagree   (-2),260,88,172.0,29,24.0,55.0,52.0,69,29,26,68,65.0,52.0,74.0,21,12,33.0,19.0,24.0,19.0,6,28.0,41.0,32,13,11,222.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Slightly disagree   (-1),140,49,92.0,20,19.0,28.0,30.0,17,23,23,36,32.0,36.0,35.0,13,7,19.0,10.0,12.0,9.0,11,8.0,18.0,16,10,5,111.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Neither agree nor    (0) disagree,422,195,227.0,60,54.0,85.0,80.0,94,53,50,88,112.0,96.0,126.0,34,19,43.0,44.0,45.0,29.0,26,33.0,50.0,50,40,10,353.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Slightly agree      (+1),476,242,234.0,83,74.0,101.0,72.0,68,54,98,134,136.0,96.0,110.0,38,16,46.0,38.0,45.0,43.0,24,42.0,75.0,59,41,9,405.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Strongly agree      (+2),891,497,395.0,109,89.0,96.0,105.0,128,158,295,269,272.0,164.0,187.0,77,33,101.0,67.0,65.0,57.0,37,94.0,105.0,142,83,30,747.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,NET: Agree,1367,739,628.0,192,163.0,197.0,178.0,196,211,393,403,408.0,260.0,297.0,115,49,147.0,105.0,110.0,99.0,61,136.0,180.0,201,123,40,1151.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_i_would_agree_to_be_vaccinated_against_the_coronavirus_if_there_was_a_vaccine_approved_by_the,Unweighted base,2189,1062,1127.0,268,237.0,337.0,362.0,371,330,521,627,625.0,385.0,552.0,196,87,242.0,172.0,200.0,169.0,101,199.0,293.0,277,187,66,1826.0
