start_date,end_date,question,response,facebook,twitter,instagram,snapchat,youtube,whatsapp,whatsapp_group,facebook_messenger,apple_imessage,search_engine
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,813,372,198,52,194,270,209,179,40,513
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",439,235,74,12,85,51,43,25,12,357
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",475,240,66,28,103,47,43,25,8,378
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",66,48,20,12,27,11,13,7,2,52
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,453,129,120,21,37,175,129,115,23,0
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,471,135,90,16,30,153,139,102,18,0
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,266,180,77,11,67,36,35,16,5,0
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,288,164,65,8,42,46,39,14,3,0
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,34,14,11,5,11,7,5,11,6,26
2020-03-27,2020-03-29,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,820,371,207,55,193,263,201,176,46,483
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",301,185,62,17,89,33,16,27,7,300
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",312,179,47,30,98,35,13,20,5,272
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",56,37,19,13,30,10,7,7,1,56
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",118,73,32,30,42,9,9,9,0,88
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,52,18,16,6,23,5,7,18,3,48
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,300,106,62,25,30,90,91,59,7,0
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,170,128,49,9,63,30,21,20,3,0
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,165,97,45,3,38,25,26,15,2,0
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,629,298,157,65,208,174,132,125,22,415
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,296,105,80,27,25,118,84,72,13,0
2020-04-03,2020-04-05,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,625,288,146,59,212,163,127,122,21,414
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,585,278,140,63,202,142,129,120,28,357
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",137,68,27,25,45,8,8,13,5,84
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,153,115,40,11,57,10,15,10,3,0
