start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Unweighted base,2105,1010,1095,265.0,600,510,448,547
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Weighted base,2106,1029,1077,292.0,573,596,427,510
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,NET: Any,1412,693,719,219.0,402,410,288,312
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Theories linking the origins or causes of Coronavirus to 5G technology,1049,534,515,153.0,306,311,203,228
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking water more frequently,558,251,307,81.0,162,159,119,118
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",404,207,197,65.0,113,113,80,98
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Gargling with salt water,357,172,185,58.0,106,95,78,78
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Eating warm food/ drink and avoiding cold food/ drink,322,129,193,57.0,95,97,68,62
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking more lemon juice,282,155,127,34.0,85,75,57,64
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Inhaling steam,227,117,110,38.0,63,72,52,40
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Putting clothes in the sun or another warm place to disinfect them,189,90,99,28.0,53,59,36,41
2020-04-09,2020-04-13,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,None of these,694,336,358,73.0,171,187,139,197
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Unweighted base,2122,1097,1025,298.0,626,638,306,552
