East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,4.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0
0.0,5.0,4.0,0.0,1.0,4.0,0.0,2.0,0.0
0.0,6.0,5.0,0.0,1.0,4.0,0.0,3.0,0.0
1.0,7.0,7.0,0.0,2.0,4.0,1.0,4.0,0.0
2.0,7.0,13.0,0.0,2.0,4.0,1.0,8.0,0.0
3.0,9.0,19.0,0.0,5.0,6.0,1.0,10.0,0.0
3.0,9.0,29.0,0.0,8.0,9.0,2.0,12.0,0.0
3.0,10.0,37.0,1.0,12.0,16.0,3.0,16.0,2.0
7.0,12.0,52.0,1.0,14.0,25.0,5.0,24.0,4.0
8.0,14.0,78.0,1.0,20.0,32.0,7.0,32.0,6.0
12.0,15.0,106.0,1.0,26.0,45.0,10.0,41.0,8.0
15.0,21.0,137.0,1.0,35.0,54.0,14.0,49.0,9.0
