date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-03-17,6,0,0,0,0,0,2020-03-16 14:38:45,6,0,0.0,GBR,United Kingdom,Channel Islands,49.3723,-2.3644,[]
2020-03-17,3,0,1,2,0,0,2020-03-17 02:53:03,2,2,0.0,GBR,United Kingdom,Gibraltar,36.1408,-5.3536,[]
2020-03-17,1950,55,52,407,0,32,2020-03-17 15:13:09,1843,375,0.0282,GBR,United Kingdom,United Kingdom,55.3781,-3.4360,[]
2020-03-17,1,1,0,0,0,0,2020-03-16 14:53:04,0,0,1.0,GBR,United Kingdom,Cayman Islands,19.3133,-81.2546,[]
2020-03-18,6,0,0,0,0,0,2020-03-16 14:38:45,6,0,0.0,GBR,United Kingdom,Channel Islands,49.3723,-2.3644,[]
2020-03-18,8,0,2,5,0,1,2020-03-18 14:13:42,6,4,0.0,GBR,United Kingdom,Gibraltar,36.1408,-5.3536,[]
2020-03-18,2626,71,65,676,16,13,2020-03-18 14:53:05,2490,647,0.027,GBR,United Kingdom,United Kingdom,55.3781,-3.4360,[]
2020-03-18,1,1,0,0,0,0,2020-03-16 14:53:04,0,0,1.0,GBR,United Kingdom,Cayman Islands,19.3133,-81.2546,[]
2020-03-18,1,0,0,0,0,0,2020-03-18 11:53:04,1,0,0.0,GBR,United Kingdom,Montserrat,16.7425,-62.1874,[]
2020-03-19,11,0,0,5,0,0,2020-03-19 20:13:56,11,5,0.0,GBR,United Kingdom,Channel Islands,49.3723,-2.3644,[]
2020-03-19,10,0,2,2,0,0,2020-03-19 20:13:52,8,2,0.0,GBR,United Kingdom,Gibraltar,36.1408,-5.3536,[]
2020-03-19,2689,137,65,63,66,0,2020-03-19 17:13:27,2487,-3,0.0509,GBR,United Kingdom,United Kingdom,55.3781,-3.4360,[]
2020-03-19,3,1,0,2,0,0,2020-03-19 20:13:56,2,2,0.3333,GBR,United Kingdom,Cayman Islands,19.3133,-81.2546,[]
2020-03-19,1,0,0,0,0,0,2020-03-18 11:53:04,1,0,0.0,GBR,United Kingdom,Montserrat,16.7425,-62.1874,[]
2020-03-19,2,0,0,0,0,0,2020-03-19 02:53:33,2,0,0.0,GBR,United Kingdom,Bermuda,32.3078,-64.7505,[]
2020-03-20,14,0,0,3,0,0,2020-03-20 20:43:03,14,3,0.0,GBR,United Kingdom,Channel Islands,49.3723,-2.3644,[]
2020-03-20,10,0,2,0,0,0,2020-03-19 20:13:52,8,0,0.0,GBR,United Kingdom,Gibraltar,36.1408,-5.3536,[]
2020-03-20,3983,177,65,1294,40,0,2020-03-20 20:13:18,3741,1254,0.0444,GBR,United Kingdom,United Kingdom,55.3781,-3.4360,[]
2020-03-20,3,1,0,0,0,0,2020-03-19 20:13:56,2,0,0.3333,GBR,United Kingdom,Cayman Islands,19.3133,-81.2546,[]
2020-03-20,1,0,0,0,0,0,2020-03-18 11:53:04,1,0,0.0,GBR,United Kingdom,Montserrat,16.7425,-62.1874,[]
2020-03-20,2,0,0,0,0,0,2020-03-19 02:53:33,2,0,0.0,GBR,United Kingdom,Bermuda,32.3078,-64.7505,[]
2020-03-20,1,0,0,0,0,0,2020-03-20 15:13:21,1,0,0.0,GBR,United Kingdom,Isle of Man,54.2361,-4.5481,[]
2020-03-21,32,0,0,18,0,0,2020-03-21 21:13:29,32,18,0.0,GBR,United Kingdom,Channel Islands,49.3723,-2.3644,[]
2020-03-21,10,0,2,0,0,0,2020-03-19 20:13:52,8,0,0.0,GBR,United Kingdom,Gibraltar,36.1408,-5.3536,[]
2020-03-21,5018,233,65,1035,56,0,2020-03-21 20:43:03,4720,979,0.0464,GBR,United Kingdom,United Kingdom,55.3781,-3.4360,[]
