sector,category,unit,2018 JAN,2018 FEB,2018 MAR,2018 APR,2018 MAY,2018 JUN,2018 JUL,2018 AUG,2018 SEP,2018 OCT,2018 NOV,2018 DEC,2019 JAN,2019 FEB,2019 MAR,2019 APR,2019 MAY,2019 JUN,2019 JUL,2019 AUG,2019 SEP,2019 OCT,2019 NOV,2019 DEC,2020 JAN,2020 FEB,2020 MAR,2020 APR,2020 MAY,2020 JUN,2020 JUL,2020 AUG,2020 SEP,2020 OCT,2020 NOV,2020 DEC,2021 JAN,2021 FEB,2021 MAR,2021 APR,2021 MAY,2021 JUN,2021 JUL,2021 AUG,2021 SEP,2021 OCT,2021 NOV,2021 DEC,2022 JAN,2022 FEB,2022 MAR,2022 APR,2022 MAY,2022 JUN,2022 JUL,2022 AUG,2022 SEP,2022 OCT,2022 NOV,2022 DEC,2023 JAN,2023 FEB,2023 MAR,2023 APR,2023 MAY,2023 JUN,2023 JUL,2023 AUG,2023 SEP,2023 OCT,2023 NOV,2023 DEC,2024 JAN,2024 FEB,2024 MAR,2024 APR,2024 MAY,2024 JUN,2024 JUL,2024 AUG,2024 SEP
Whole Economy Real Terms Year on Year Single Month Growth (%),Regular Pay,percentage %,0.0,0.4,0.7,0.4,0.3,0.4,0.8,0.9,0.9,1.3,1.3,1.3,1.8,1.4,1.3,1.9,1.9,2.1,1.8,1.8,1.9,1.6,1.7,1.8,0.9,1.2,0.9,-0.9,-0.8,-0.9,-0.1,1.5,2.1,2.8,3.5,3.6,3.3,3.7,3.9,5.8,5.1,4.6,3.8,1.8,1.1,0.0,-1.0,-1.1,-0.6,-1.2,-1.8,-3.5,-2.6,-2.8,-3.1,-2.7,-2.5,-2.7,-2.3,-2.4,-2.3,-2.0,-1.6,-0.1,-0.1,0.5,1.3,1.6,1.1,1.4,2.0,1.9,1.7,2.0,2.5,2.7,2.4,2.3,1.9,1.5,2.2
Whole Economy Real Terms Year on Year three Month Growth (%),Regular Pay,percentage %,-0.2,0.1,0.3,0.5,0.5,0.4,0.5,0.7,0.9,1.0,1.1,1.3,1.5,1.5,1.5,1.5,1.7,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.5,1.3,1.0,0.4,-0.3,-0.9,-0.6,0.2,1.2,2.1,2.8,3.3,3.5,3.5,3.6,4.4,4.9,5.2,4.5,3.4,2.2,1.0,0.0,-0.7,-0.9,-1.0,-1.2,-2.2,-2.6,-3.0,-2.8,-2.9,-2.8,-2.6,-2.5,-2.5,-2.3,-2.2,-2.0,-1.2,-0.6,0.1,0.6,1.1,1.3,1.3,1.5,1.8,1.9,1.9,2.1,2.4,2.5,2.4,2.2,1.9,1.9
Whole Economy Real Terms Level (£),Regular Pay,pounds £,458,459,461,460,460,461,462,463,462,464,464,464,466,466,467,469,469,471,470,471,471,472,472,472,471,471,471,464,465,466,470,478,481,485,488,489,487,488,489,491,489,488,488,487,486,485,483,484,484,482,480,474,476,474,473,474,474,471,472,472,473,473,473,473,476,477,479,481,479,478,482,481,481,482,484,486,487,488,488,488,490
Whole Economy Real Terms Year on Year Single Month Growth (%),Total Pay,percentage %,-0.2,0.0,0.4,0.6,0.4,-0.1,1.0,1.0,0.6,1.9,1.0,1.0,1.7,1.4,1.0,1.9,2.2,2.1,2.1,1.6,2.2,0.9,1.7,1.0,1.1,0.7,-0.3,-1.5,-1.7,-2.2,-1.2,1.5,1.7,2.9,4.2,4.2,3.3,3.2,3.1,7.2,7.0,6.2,5.2,2.5,1.7,0.6,-1.0,1.1,0.3,0.3,3.4,-2.8,-3.2,-1.8,-2.8,-2.5,-2.9,-2.6,-2.0,-3.8,-2.4,-1.8,-3.3,-0.2,0.0,1.4,1.5,0.8,1.7,1.2,1.4,1.6,1.4,2.1,2.2,2.4,2.2,0.3,1.0,1.5,1.6
Whole Economy Real Terms Year on Year Three Month Growth (%),Total Pay,percentage %,-0.2,0.0,0.1,0.3,0.4,0.3,0.4,0.6,0.9,1.1,1.2,1.3,1.2,1.3,1.3,1.4,1.7,2.1,2.1,1.9,2.0,1.6,1.6,1.2,1.3,0.9,0.5,-0.4,-1.2,-1.8,-1.7,-0.6,0.7,2.1,2.9,3.8,3.9,3.6,3.2,4.5,5.8,6.8,6.2,4.6,3.1,1.6,0.4,0.2,0.1,0.6,1.4,0.3,-0.9,-2.6,-2.6,-2.4,-2.7,-2.7,-2.5,-2.8,-2.7,-2.7,-2.5,-1.8,-1.2,0.4,1.0,1.2,1.3,1.2,1.4,1.4,1.5,1.7,1.9,2.2,2.3,1.6,1.2,0.9,1.4
Whole Economy Real Terms Level (£),Total Pay,pounds £,486,488,491,491,490,492,492,494,493,497,493,493,494,495,496,500,501,502,503,502,504,502,501,498,500,498,494,492,493,491,497,509,512,516,522,519,516,514,509,527,527,522,523,522,521,520,517,525,518,516,527,513,511,513,508,509,506,506,506,505,505,506,510,512,511,520,515,513,515,512,513,513,513,517,521,524,522,521,520,521,523
Services Level (£),Total Pay Excluding Arrears,pounds £,493,497,502,498,500,503,505,508,507,515,509,512,513,515,515,518,521,523,526,525,527,526,526,525,530,530,522,518,520,519,527,539,545,550,554,556,556,554,548,562,570,562,567,571,573,576,574,593,587,588,602,593,594,599,601,608,604,615,619,622,625,631,635,638,642,658,651,650,656,653,655,658,662,668,676,673,674,674,676,679,681
Services Year on Year Single Month Growth (%),Total Pay Excluding Arrears,percentage %,2.4,2.8,3.0,2.1,2.4,1.9,3.4,3.4,2.9,4.5,3.2,3.2,4.0,3.7,2.6,4.1,4.1,4.0,4.0,3.4,3.9,2.2,3.2,2.6,3.3,2.9,1.4,-0.1,-0.1,-0.8,0.3,2.7,3.4,4.5,5.3,5.8,4.9,4.5,5.1,8.6,9.5,8.4,7.6,5.9,5.1,4.7,3.6,6.7,5.6,6.2,9.8,5.5,4.2,6.5,6.0,6.4,5.4,6.8,7.9,5.0,6.5,7.2,5.5,7.6,8.0,9.9,8.2,7.0,8.6,6.3,5.9,5.8,5.9,5.9,6.4,5.6,5.1,2.5,3.9,4.5,3.9
Services Year on Year Three Month Average Growth (%),Total Pay Excluding Arrears,percentage %,2.6,2.8,2.7,2.6,2.5,2.1,2.6,2.9,3.2,3.6,3.5,3.6,3.5,3.6,3.4,3.4,3.6,4.1,4.1,3.8,3.8,3.1,3.1,2.7,3.0,2.9,2.5,1.4,0.4,-0.3,-0.2,0.7,2.1,3.5,4.4,5.2,5.4,5.1,4.8,6.0,7.7,8.8,8.5,7.3,6.2,5.2,4.5,5.0,5.3,6.1,7.2,7.1,6.5,5.4,5.5,6.3,5.9,6.2,6.7,6.5,6.4,6.2,6.4,6.7,7.0,8.5,8.7,8.3,7.9,7.3,6.9,6.0,5.8,5.9,6.1,6.0,5.7,4.4,3.8,3.6,4.1
Finance and Business Services Level (£),Total Pay Excluding Arrears,pounds £,645,651,673,652,653,659,667,665,665,674,671,670,677,676,682,687,690,693,695,695,700,696,696,693,699,697,676,687,690,672,694,723,729,738,746,745,756,724,716,769,779,756,778,786,786,792,787,851,805,799,819,818,809,826,823,832,835,845,855,853,864,871,875,884,890,888,903,908,904,899,903,910,908,918,960,934,938,945,936,942,949
