table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,NET: Working,1181,632,549,153,150,284,264,263,166,51,344,364,258,215,104,38,122,101,103,86,56,112,171,159,92,37,984,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,NET: Employed,1051,566,486,136,135,269,249,218,142,38,316,326,227,182,96,34,113,92,98,73,52,98,152,128,80,35,869,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,Working full time working 30 hours per week or more,844,499,344,106,106,245,207,178,97,10,275,267,177,125,80,31,86,73,77,57,42,78,127,101,62,30,691,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,Working part-time working between 8 and 29 hours per week,208,66,141,30,29,24,42,39,45,28,41,59,50,57,16,3,27,20,21,17,9,20,25,27,18,5,178,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,NET: Self-employed,130,66,64,16,15,16,15,45,24,13,28,38,31,32,9,4,8,8,6,12,5,14,19,31,12,2,115,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,Self-employed - working 30 hours per week or more,88,54,34,10,10,11,13,28,17,8,22,20,25,21,5,3,7,5,5,11,3,9,15,17,7,1,79,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,Self-employed - working between 8 and 29 hours per week,42,12,30,7,5,5,2,17,7,5,6,18,7,12,4,1,2,3,1,2,2,5,4,14,4,1,36,,,
Table 155,Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19),ONLINE Fieldwork: 11th to 13th September 2020,NET: Not working,917,394,523,137,99,66,60,98,137,420,227,227,167,295,71,45,110,70,80,65,44,85,106,128,87,26,777,,,
