table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2058,992,1066,257,228,350,317,362,323,449,570,574,450,464,186,87,209,169,177,162,112,186,262,266,179,63,1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2056,1010,1045,286,248,338,314,353,297,468,561,581,416,497,171,83*,228,167,179,148,98*,193,269,280,177,62*,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,NET: Any,1056,539,517,159,141,215,175,158,136,214,291,309,213,243,93,47,128,85,92,76,60,85,133,131,91,37,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Face masks/coverings offer no protection/are harmful,580,283,298,82,74,108,99,91,86,116,145,169,131,135,62,25,80,53,47,39,27,44,64,73,46,19,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,The number of deaths linked to Coronavirus is much lower in reality than is being reported,426,207,219,65,57,82,77,71,58,72,114,129,80,104,42,18,52,30,29,32,32,37,46,57,27,25,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Claims about potential dangers of a Coronavirus vaccination,410,199,212,61,55,73,65,62,59,90,114,118,76,103,53,17,50,30,28,31,18,37,54,47,33,12,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,The number of cases linked to Coronavirus is much lower in reality than is being reported,363,179,183,62,53,66,62,55,54,63,91,120,64,88,31,16,47,27,31,29,23,32,43,44,23,18,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Theories linking the origins or causes of Coronavirus to 5G technology,308,173,135,48,42,76,56,34,38,56,87,99,56,65,29,9,38,24,33,19,18,24,44,41,19,11,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Schoolchildren can be tested and detained without parents' permission,137,65,73,16,15,39,34,21,12,16,29,37,32,39,15,5,23,13,19,6,8,12,10,17,6,2,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Injecting disinfectant/ bleach,130,83,47,23,20,36,15,18,16,22,28,41,27,35,9,4,15,8,15,11,6,6,28,11,14,4,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
