table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 115,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,901,407,494,128,117,145,134,164,138,192,269,279,140,213,65,32,95,67,84,64,46,80,134,132,77,25,765
Table 115,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,910,422,488,141,128*,163,132,162,124,187,277,260,171,202,65*,27**,103*,68*,92*,61*,43*,84*,122,135,82*,28**,773
Table 115,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 15th to 17th January 2021,Reported / described as a true claim,339,156,183,62,58,57,52,53,50,65,99,104,58,78,24,12,30,23,34,22,23,26,42,57,31,15,277
Table 115,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 15th to 17th January 2021,Reported / described as a false claim,304,151,153,39,35,48,43,50,42,82,99,82,56,67,20,7,35,19,30,19,11,35,47,45,30,7,266
Table 115,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 15th to 17th January 2021,Unclear whether true or false,194,87,107,25,23,49,23,46,21,29,57,52,46,39,10,6,29,22,22,13,8,15,25,24,16,4,172
Table 116,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,508,240,268,67,63,91,73,83,84,110,154,157,78,119,41,24,43,45,35,29,22,45,91,76,40,17,428
Table 116,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,508,242,267,76*,71*,107*,71*,75*,78*,102*,151,139,103*,116*,38*,20**,56**,50*,34**,27**,18**,42*,87*,73*,46*,18**,435
Table 116,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th February 2021,Reported / described as a true claim,226,104,122,35,31,42,32,35,35,46,60,61,47,58,21,10,25,30,11,13,7,22,37,31,12,7,190
Table 116,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th February 2021,Reported / described as a false claim,162,84,78,26,26,36,21,17,18,45,64,51,18,29,11,5,17,15,11,5,8,11,30,28,16,5,139
Table 116,Q10b/Q10d/Q10n/Q10p. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th February 2021,Unclear whether true or false,120,53,67,15,14,29,18,23,24,11,27,27,38,28,6,4,13,6,11,9,3,9,21,14,18,5,106
