table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,142,65,77,12,11,32,34,17,17,30,49,38,26,29,15,7,16,8,13,8,8,14,22,20,8,3,116,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,150,67*,83*,14**,13**,36**,35*,14**,19**,32**,46*,43*,30**,31**,16**,9**,18**,10**,15**,7**,8**,14**,19**,22**,9**,3**,123,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Facebook,62,21,41,8,8,16,15,4,8,10,13,17,12,19,8,4,8,4,6,2,5,4,9,8,4,-,50,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Family and friends directly,28,10,18,3,3,8,11,3,-,2,7,9,7,4,1,1,4,1,1,3,2,3,5,6,-,1,24,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Twitter,20,12,7,1,1,4,3,5,5,1,7,5,4,2,5,1,4,3,-,1,-,-,2,-,4,-,15,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,BBC - TV,15,8,6,3,2,3,-,1,1,7,4,5,4,2,3,-,1,-,4,-,3,1,1,1,2,-,9,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Unspecified social media,14,5,9,2,2,6,1,1,3,2,3,7,1,3,2,-,1,1,1,1,-,3,*,3,-,1,11,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Websites or apps that bring together news from different news providers,14,6,8,-,-,6,3,3,-,2,6,3,2,4,-,-,-,4,4,-,-,2,1,2,-,1,13,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,YouTube,12,8,4,1,1,3,3,1,-,5,1,2,3,5,-,1,1,2,3,-,-,-,3,1,-,-,12,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Search engine (e.g. Google),10,7,3,-,-,6,2,*,-,2,3,2,1,4,-,-,1,-,4,-,1,-,4,-,1,-,9,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,People in your local area/neighbourhood,9,1,8,2,2,3,2,1,-,-,1,4,3,1,1,1,3,1,-,-,-,1,1,-,-,-,8,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Instagram,6,2,4,1,1,2,2,1,-,-,-,2,2,2,1,-,1,-,1,-,-,-,2,1,-,-,5,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Email,6,3,2,-,-,-,3,1,1,1,2,1,2,1,1,-,1,2,1,-,-,-,1,-,-,-,5,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,150,67*,83*,14**,13**,36**,35*,14**,19**,32**,46*,43*,30**,31**,16**,9**,18**,10**,15**,7**,8**,14**,19**,22**,9**,3**,123,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",6,1,4,-,-,4,-,-,1,1,1,2,-,3,-,1,1,-,4,-,-,-,1,-,-,-,6,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Facebook messenger,5,1,3,1,1,1,1,-,-,1,4,1,-,-,-,-,-,-,-,-,-,1,1,2,-,-,5,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),4,4,-,-,-,-,-,-,2,2,1,-,-,3,1,-,1,-,-,-,-,-,-,-,2,-,3,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Commercial Radio,4,2,2,-,-,-,1,*,1,1,2,-,2,-,-,-,-,-,1,-,1,-,*,-,1,-,3,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,WhatsApp,3,2,1,1,1,-,1,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,3,1,-,-,3,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Direct from Local council website/ email/ text/ post,3,-,3,-,-,3,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,-,-,-,3,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),3,-,3,1,1,2,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,2,-,-,-,3,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,BBC - Radio,3,2,1,-,-,-,-,-,-,3,2,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,WhatsApp group(s),3,2,1,-,-,*,1,-,-,1,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,3,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,BBC - Online/ app,2,1,1,1,1,-,-,-,-,1,1,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,150,67*,83*,14**,13**,36**,35*,14**,19**,32**,46*,43*,30**,31**,16**,9**,18**,10**,15**,7**,8**,14**,19**,22**,9**,3**,123,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Advertising,2,*,2,2,1,*,-,-,-,-,1,1,-,*,-,-,-,-,-,-,-,-,*,2,-,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,-,-,-,-,1,-,1,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,1,1,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,“Broadsheets” such as The Times or Guardian,2,2,-,-,-,-,-,-,1,1,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Snapchat,2,1,1,2,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,ITV,2,2,-,-,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Direct from NHS website/ email/ text/ post,2,-,2,1,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Official scientists,2,2,-,-,-,-,-,1,-,1,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Direct from World Health Organisation (WHO) website/ email/ text/ post,1,1,1,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Celebrity and/or social media influencer,1,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,150,67*,83*,14**,13**,36**,35*,14**,19**,32**,46*,43*,30**,31**,16**,9**,18**,10**,15**,7**,8**,14**,19**,22**,9**,3**,123,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Sky,1,1,-,-,-,-,1,-,-,1,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Channel 4,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,“Broadsheets” such as The Times or Guardian ( online ),1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Other,16,5,11,-,-,2,5,1,3,5,6,5,3,2,1,-,-,-,2,3,-,4,1,2,1,1,14,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Broadcasters,17,9,8,4,3,3,1,1,1,8,5,6,4,2,3,-,1,1,4,-,3,2,1,1,2,-,12,,,
